stage,epidermis,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,10.18,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.34,0,0,0,17.56,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.32,0,0,0,0,0,0,1.84,5.1,0,0,0
 24-34,1.8,0.93,0,0,0.63,0,0,0,0,1.38,0,16.37,0,0,0,0,5.32,0,0,7.05,0,3.08,0
 36-46,0,1.84,0,0,0,0,0,0,0,1.23,0.56,25.43,0,0.66,1.38,0,2.84,2.15,0,2.87,0,1.09,0
 48-58,2.6,3.89,0,1.37,0,0,0,0,1.84,1.48,5.09,24.29,1.01,0,0,0,0.54,0,0,2.74,0,0,0
 60-70,0.83,2.54,0,7.68,1.84,0.9,0,0,0,3.29,0,11.95,0,0,0,0,10.16,0,0,0.84,0,11.31,0
 72-82,4.65,16.01,0,0,0,0,0,0,0,5.89,0.7,21.57,0,1.2,0.91,0,3.02,0.64,0,1.36,0.67,0,0
 84-94,1.33,0.65,0,0.76,0,0,0,0,0,0,0,3.85,0,0,0,0,14.68,0,0,1.51,0,0,0
 96-106,3.69,0,0,0,0,0,0,1.65,0,0,0.88,30.9,0,0,0.6,0,16.94,0,0,0,0,0,0
108-118,0.9,3.01,0.6,0,0.42,0,0.8,1.23,3.18,4.32,0,5.18,0,7.65,0,0,8.12,0.47,0,0,0,0,0.48
120,2.28,6.23,0,0,0,0,0,1.25,0,0,0,19.11,0,0,0,0,0,2.27,0,0,0,0,0
