stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
 10-12,13.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.19,2.21,0,0,0,0,0,0,0,0.94,0,0,0.91,3.43,0,0
 24-34,0,0,0,0,0,0,0,0.65,0,0,0,0,3.78,1.91,0,3.68,6.02,0,0,23.39,0,0,4.03,0
 36-46,0,0,0,0,0,0,0,1.38,0,0,0,0,0,1.18,0,0,16.82,0,0,10.92,0,3.97,1.14,0
 48-58,0,0,0,0.61,0,0.4,0.58,0,0,0,0,0,0,2.78,0,0,13.31,0,0,1.94,0,2.18,6.72,0
 60-70,0,2.04,0,0,0,0,0,0,0,0,0,2.17,0,2.65,0,0,10.11,0,0,3.33,0,0,0,0
 72-82,0,0,1.56,2.94,0,0,0,2.03,0,0,0,0,0,2.03,0,0,4.23,0,0,3.03,0,0,0,0
 84-94,0,0.68,13.82,9.55,0,0,0,0,0,0,0,0,0,1.32,0,0,0.92,0,0,0,0,0,2.36,0
 96-106,0,1.44,0,2.27,0,0,0,0,0,0,0,0,0,2.77,6.26,0,1.56,0,0,0,0,0,0,2.33
108-118,0,0.44,0,0,0.52,0,0,0,0,0,0.64,0,0,1.41,0,0,5.64,1.51,0,0,0,6.01,0,0
120,0,7.02,0,11.21,0,0,0,3.83,0,0,0,0,0,8.97,0,0,0,0,2.28,2.78,0,9.21,0,0
