stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.65,565.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.43,0,0,0,0,0,0,0,0,0
  5-6,29.08,270.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19,0,0,0,0,7.83,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.65,0,0,6.16,0,0,7.62,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27,0,0,0,0,2.05,0,1.08,0,0,0,0,0,0,0
 24-34,0,0,0,0.76,0,0,0,0,0,0,2.01,0,0,0,0,0,0,0,0,0,12.21,25.49,0,0,0,0,0,2.98,6.9,0,0,0,0,0,0
 36-46,0,0,0,0.86,0,2.46,0,0,0,0,0,2.69,0,0,0,0,5.29,4.32,0,0.85,13.44,22.41,0.73,0,0,0.75,0,0,0,1.02,0,0,6.57,0,0
 48-58,0,0,0,1.06,0,0.39,0,0,0,0,1.58,0,0,0,0,0,1.88,0,0,0,25.94,15.09,0,0,0,2.69,0,0.56,0,2.31,0,0.81,0,0,11.56
 60-70,0,0,0,3.2,0,3.27,0,0,3.98,0,1.46,0,0,0,0,0,14.92,0,17.34,0,25.28,8.27,0,0,2.07,0,0,0.93,0,0,3.21,36.87,0,77.68,25.12
 72-82,0,0,0.62,2.7,0.92,21.98,0,3.05,4.54,0,0,0,0,0,0.69,0,34.34,0,60.76,1.95,50.97,0.51,0,0,0,1.75,0,0,0.53,9.86,0,69.16,0.57,359.25,22.41
 84-94,0,0,0,0,4.94,36.15,10.84,0,8.23,0,0,0,0,0,0,0,41.56,0,35.78,0,15.01,0.63,0,0,12.05,3.06,0,0,0,0,0,83.21,1.71,581.74,0
 96-106,0,0,0,4.1,7.71,47.05,4.44,6,1.44,0,6.53,0,0.74,6.49,0,1.12,42.82,0,37.58,5.6,33.13,0,0.59,0,4.29,2.89,0,0,0,0,0,130.2,9.47,897.92,1.4
108-118,0,0,0.62,1.1,0.54,54.99,2.85,3.19,3.35,0.62,0.49,0,0.59,0,0,4.52,79.32,0,19.68,1.24,54.73,2.55,0,0,13.56,4.92,0,2.09,0,4.26,0,120.39,0,614.12,1.39
120,0,0,0,7.45,0,10.6,12.13,0,0,2.65,0,0,0,0,0,0,50.23,0,23.55,0,37.86,0,0,0,0,6.67,0,1.02,0,0,0,95.87,0,1270.24,8.94
