stage,epidermis,eye,fast.muscle,glial,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,somites,spinal.cord
  7-9,0,0,0,0,0,0,0,0,9.31,0,0,0
 14-21,0,0,0,0,0,1.56,0,0,0,0,0.99,0
 24-34,0.59,0,0,0,0.79,2.07,1.02,0,0,0,0,0
 36-46,0,0,0,0,0,11.78,0,0,0,0.68,0,1.66
 48-58,0,0.58,0,0.84,0,9.67,0,0,0,0,0,0.99
 60-70,0,0,1.28,0,0,13.77,0,0,0,0,0,1.39
 72-82,0,6.99,0,0,0,6.62,0,0,0,0,0,3.71
 84-94,0,5.35,0,0,0.93,2.3,0,0,0,0,0,0
 96-106,2.41,0,0,0,1.15,8.46,0,0,0,0,0,0
108-118,0,0,0,0,0,4.13,0,1.41,0,0,0,0
120,0,0,0,0,5.5,0,0,0,0,0,0,0
