stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,209.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.55,239.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.24,0,5.34,0,0,0,5.96,0,0,0,0,0,6.28,0,0,0,0,0,0,0,0,0,0,0,109.6,0,0,0,54.59,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.51,0,4.37,0,0,0,7.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.95,0,0,0,48.63,0,5.47,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.45,0,17.51,0.94,0,2.26,0,0,0,6.4,1.14,0,0,0,0,0,0,0,0,5.72,0,0,3.43,88.1,2.87,1.21,0,2.59,5.84,0,2.56,8.88,0,5.56,75.87,0,0,0,0
 24-34,0,0,0,0,5.6,0,0,14.75,0,0.63,0,4.92,1.58,0,0,0.69,1.68,0,0,0,0,1.64,0,0,3.83,100.27,0,1.05,0.65,0,13.65,0,0,9.1,0.67,0,45.39,0,0,1.57,0
 36-46,0,0,4.29,0,1.92,0.73,0,26.5,0,0.74,0,1.02,0,0,0,2.46,0.95,0,0,2.63,1.33,9.02,0,0,3.83,217.07,0.57,9.36,2.54,0,22.02,1.61,0,13.96,1.56,0,55.23,0,0,6.92,0
 48-58,0,0,0,0,9.24,0,0,77.77,0,1.44,1.88,5.05,0,0,0,3.45,0,0,1.46,0,0,19.12,0,0.5,4.57,288.62,0,6.06,0.9,0,21.27,0.65,0,8.01,2.22,0,44.41,0,0,1.15,0.51
 60-70,0,0,0,0,8.36,0,0,217.1,0.99,7.59,0,13.82,0.63,0,0,5.05,0,4.54,0,3.05,0,40.84,2.41,0,5.22,470.49,0,2.98,0,0,17.03,0,0,6.64,0,0,62.34,0,0.65,2.28,6.5
 72-82,0,0,5.84,0,3.33,1.94,1.86,360.3,0.76,0,0,47.04,1.91,0,0,4.64,8.92,0,4.92,0.78,0,72.65,1.8,0,3.22,566.7,0.66,14.65,2.85,0,17.53,0,0,12.4,0,0,56.41,2.97,0,14.62,5.57
 84-94,0,0,5.77,2,17.65,0,0,346.84,0,0,0,43.16,8.85,0,0.6,9.5,7.2,0,2.28,0.58,9.84,38.82,1.19,1.23,5.03,420.94,0,2.49,4.24,0,65.07,0,0,38.12,0,0,42.61,0,0,12.99,0
 96-106,0,0,3.16,1.03,19.72,3.42,0,251.94,2.09,0,3.27,57.43,8.44,0,0.78,9.59,3.53,0,6.8,19.22,0,53.66,0,1.48,3.33,336.51,0,12.88,9.65,0,31.17,0,0,24.42,0.6,0,33.03,0,3.33,16.78,2.42
108-118,0,0,2.36,0,16.7,5.15,0.44,233.34,0,0.43,2.96,73,12.09,0,0,11.37,5.9,0.83,8.83,9.08,0,86.86,0.42,0,4.29,484.41,1.29,10.85,9.73,0,33.28,0,0,30.92,0,0,25.08,2.86,1.73,4.53,2.48
120,0,0,11,0,39.4,0,0,200.09,0,0,0,103.12,23.16,0,2.63,31.78,1.05,0,0,4.89,0,125.19,0,6.89,1.59,778.58,1.25,4.11,44.78,0,23.47,0,0,25.04,1.69,0,48.09,1.84,0,22.81,0
