stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,heart,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,26.8,110.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,107.49,0,0,0,0,0,0,0,0,0,28.47,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,103.82,0,38.76,0,0,0
 10-12,0,26.96,60.54,0,5.34,10.87,0,3.61,0,0,3.87,365.75,0,204.55,0,16.02,10.18
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.64,0.72,1.91,0.57,0,0,0,0
 48-58,0,0,0,0,0,0.83,0.65,0,0,0.42,0,3.62,0,0,0,0,0
 60-70,0,0,0,0.9,0,0.61,0,0,0,0,0,1.78,0,0,0,0,0
 72-82,0,0,0,0,0,5.25,0,0,0,2.29,0,2.67,0,0,0.8,0,2.36
120,0,0,0,0,0,0,0,0,4.12,0,0,0,0,0,0,0,0
