stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,heart,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,18.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.12,0,0,0,0,0,0,0,7.5,0,0,0,5.95,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,54.09,7.31,0,0,19.28,0,0,0,7.07,0,0,0,0
 14-21,0,1.23,12.66,3.9,1.71,0,1.08,0.92,0,3.84,0,4.21,28.38,0,5.23,1.2,0,0,0,2.54,0,4.33,8.17,1.23,0
 24-34,0,0,8.2,0,0.62,0,1.11,0,1.14,1.39,0,2.05,5.13,0.69,0,0,0,0,0,0,0,1.26,3.02,0,0
 36-46,0,0,17.61,0,0.83,0,3.07,0,0,1.99,0,1.59,7.5,0,0,1.66,0,0,1.44,0,0,0,0,0,0
 48-58,0,0,6.93,0,1.39,0,0,0,0,0.4,0,0,6.3,0,0,0,0,0,0,0,0,0,0.74,0,0
 60-70,0,0,13.09,0,0,0.73,0,0,0,2.93,0,0,39.83,0,0,1.26,0,0,0,0,0,0,5.39,0,0
 72-82,0,0,5.75,0,3.25,2.03,0,0,0,2.97,0,1.46,15.41,0,0,0,0,0,1.97,0,0,0,0,0,0
 84-94,0,0,4.04,0,1.81,2.92,0,0,0,4.67,0.98,0,0,0,0,0.92,0,0.6,0,0,0,0,2.23,0,0
 96-106,0,0,4.75,0,1.37,1.18,1.38,0,0,14.08,0,1.8,5.18,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,2.34,0,0,0.85,2.97,0,0,6.37,0,0.43,10.73,0,0,4.08,0,0,0,0,0,0,0,0,0.96
120,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
