stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,xanthophores
  3-4,119.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58,0,0,5.39,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,42.76,0,0,0,0,8.86,0,0,0
 24-34,0,0,0,0.7,0,0,0,0,1.04,0,0,0,0.76,0,8.78,0,0.8,583.16,0,0,0,0,52.54,0,1.15,0
 36-46,0,0,0,14.82,0,0,1.36,0,0,0,0,0,0,0,0.98,0,0,766.04,0,0,0,1.78,37.93,0,1.33,0
 48-58,0,1.37,0,21.27,2.85,0.86,17.04,0,0.51,0,0,0,0,0,15.21,0,0.62,1361,7.15,0,0,2.29,55.29,0,0.47,1.82
 60-70,0,4.95,0,38.98,0,0,16.2,0,0,0,0,0,0,2.31,5.86,0,0,1511.61,0.88,0,0,2.98,104.91,0,0,0
 72-82,0,5.07,0.59,112.39,0,0,76.38,0,0,4.38,0,0,0,0,25.65,0,0.78,1461.9,0,0,0,0,141.83,1.21,5.92,15.04
 84-94,0,0,1.81,34.11,0,0,49.42,1.94,0,0.82,0.79,0,1.78,0,15.99,0.84,0,1147.54,0,0,0,0.57,86.69,0,0,0
 96-106,0,12.47,0,78.62,0,0,38.95,0,0,1.28,0,0,0,0,4.51,0,2.91,762.22,0,0,0,4.33,48.19,0,0,0
108-118,0,11.59,0.95,34.49,0,0,60.72,0,0,0.56,0,0.69,1.08,0,10.37,0,1.72,1454.66,0,0.58,0,1.76,58.39,0,0,0
120,0,29.31,0,38.64,0,0,28.41,0,1.17,0,0,2.83,0,0,9.79,0,4.26,1654.93,0,4.8,0,1.54,27.66,0,0,0
