stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.04,4.03,0,0.89,0,3.39,0,0,0,0,0,0,0,2.17,0,0,0.9,24.95,0,0,0,0,3.1,0.82,0,3.53,14.43,0,0,0,0,0
 24-34,0,0.76,1.68,0,7.56,0,0,0,0,1.89,0,0,1.12,0,10.23,0,0,5.6,83.87,0,0,0,0,2.64,0,0,1.26,25.45,0,0,3.27,0,0
 36-46,0,0,4.71,0,17.82,1.18,8.32,0,0,0,0,0,0.74,0,9.79,0,0,1.77,37.48,0,0,0.79,0,0,0,0,0,21.72,0,0,2.82,0,0
 48-58,0,0,0,0.68,32.76,0.57,10.31,0,0,0,0,0,1.02,0,11.51,0,0,7.73,67.29,0,0,0.81,0,8.8,0,0,0,8.76,0,0,0.47,0,0
 60-70,0,0,0,0,27.31,0.89,9.82,0,0,0,0.98,0,0,1.24,3.01,0,1.33,0,35.35,0,0,3.21,0,0,0,0.73,0,7.95,0,0,0,0,0
 72-82,0,0,2.38,0.53,27.76,6.55,7.32,0,0,0,0,0,1.53,0,20.74,2.55,1.14,1.1,72.52,0,0,0.9,0,0,0,0.49,0,3.6,0,0,2.52,0,0
 84-94,1.04,0,2.52,0,23.05,0,6.17,2.79,0.6,0,2.23,0,0,0,11.93,0,2.04,1.43,30.91,1.48,0,0,0,1.06,0,0,0,2.79,0,2.39,2.85,0.78,0
 96-106,0,0,3.69,0,50.34,0,23.38,0,0,1.6,0,1.25,0,0,15.2,0,0,2.92,87.47,0,0,0,0,3.61,0,0,0,6.79,1.89,0,0,0,0
108-118,0,0,4.86,0,38.32,0,7.93,2.09,0,0,0.86,1.07,0,0.59,29.34,0.94,0,1.21,67.68,0,1.04,2.22,2.11,1.3,0,0,0,8.32,0,0,3.23,1.48,2.76
120,0,0,4.9,0,5.76,0,32.33,7.97,0,0,0,0,0,0,38.14,0,0,0,41.56,0,0,1.05,0,5.6,0,0,0,0,0,1.95,0,0,0
