stage,blastomeres,epidermis,eye,hatching.gland,immune,liver,mesenchyme,neural,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,22.52,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.49,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.2,0,0,0,16.64,0,22.85,0,0,0,0
 10-12,0,0,0,0,0,0,0,26.83,0,12.33,0,26,0,0
 14-21,0,0,0,0,0,0,0,2.4,0,0,0,0,1.76,0
 24-34,0,1.14,0.87,0,0,0,1.07,1.95,0,0,0.62,0,0,0
 36-46,0,0,0,0,0,0,0,10.17,1.19,0,5.63,0,0,0.57
 48-58,0,0,1.33,0,0,1.59,0.58,1.04,0,0,0,0,0,0
 60-70,0,6.7,2.51,0,0,0,0,0,0,0,1.58,0,0,0
 72-82,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0
120,0,2.9,0,0,4.02,0,2.28,0,0,0,0,0,0,0
