stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,84.43,1168.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.75,0,0,0,0,0,0,0,0,0,0
  5-6,34.52,525.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.01,0,0,0,0,38.53,0,0,0,0,0,0,0,0,0,0
  7-9,3.58,0,0,0,0,0,3.72,0,0,0,0,0,14.32,0,0,0,0,0,0,0,0,0,0,0,52.26,0,0,0,12.77,30.26,3.47,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.41,0,0,0,0,0,3.05,0,0,0,0,0,0,0,0,0,0,0,42.08,0,0,0,8.18,37.28,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.52,0,0,0.99,0,0.95,0,0,0,0.85,0,0,3.63,0,0.93,0,0,0,0,0,0,8.76,6.63,0,0,0,42.61,0,0,0,4.42,2.15,0,0,0,0,0
 24-34,0,0,0,0.74,0,0,8.19,0,1.75,0,1.51,1.37,1.42,0,0,20.67,0,0,3.74,0,0.81,0.68,0,0,60.82,0,5.72,0.9,0,114.13,0,0.92,0,0,16.46,0,0,1.53,0,0
 36-46,0,0,0,0,0.64,0,7.85,0,0,0,5.96,0.61,0,0,0,8.78,0,1.75,1.24,0,4.75,10.83,0,0.69,103.52,0,4.86,0,0,173.76,0,0,0,0,23.69,0,0,5.64,0,0
 48-58,0,0,0,2.47,0,0,26.42,0,0.42,0.7,12.89,0,0,0,0,7.72,0,1.56,0,0,4.77,11.69,0,2.11,159.61,0,5.61,0,0,91.56,0,0,0,0,17.45,0,0,5.62,0,0
 60-70,0,0,1.44,1.75,0,0,74.47,0.7,1.55,0,36.5,1.05,0,0.76,4.26,4.48,0,0.77,2.5,8.43,10.31,0,0,0,295.08,0,2.66,2.15,0,113.69,0,1.87,0,0,22.48,0,0,1.52,0,0
 72-82,0,0,0.69,8.6,3.07,0,96.08,0,0,0,26.36,3.3,0,0,1.93,10.28,0,5.92,0,0,19.44,3.25,0.93,2.01,260.01,0,6.11,1.75,0,78.28,0,6.01,1.05,0,25.07,0,0,0,0.78,0
 84-94,0,0,0,7.63,0,1.09,111.11,0,2.47,0,17.11,9.19,0,0.82,1.43,18.5,1.13,0,1.54,0,15.2,3.45,0,0,193.32,0,2.08,0.71,0,203.16,0,4.83,0,0,10.26,0.66,0,7.6,1.2,0.76
 96-106,0,0,0,13.38,1.27,0.71,53.82,0,0.59,0,25.24,9.01,0,0.99,10.48,12.83,0,1.67,0,0,14.04,10.85,0,0,132.2,0.57,13.81,2.5,0,125.55,0,0,0,0,2.55,5.68,0,3.76,0,0
108-118,0,0,1.36,19.1,1.29,3.61,35.87,0,0.7,0,16.53,10.12,0,0.74,13.11,13.8,0,1.31,2.51,0,15.7,10.79,0,0,157.93,0.45,6.35,5.46,0,116.31,0,0.52,0,0,6.34,3.04,3.02,7.48,0.99,0
120,0,0,0,34.13,0,0,57.3,0,0,0,12.79,10.99,0,0,1.38,11.76,0,0,3.1,0,7.1,1.49,0,0,192.73,0,6.97,6.8,0,99.23,0,1.13,13.04,0,0,0,0,21.03,0,0
