stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.66,283.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.41,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,166.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.24,4.71,0,16.57,0,0,0,21.81,0,0,0,0,0,7.23,0,0,0,0,0,0,0,0,0,0,265.82,0,0,0,85.08,0,0,7.62,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,14.76,0,5.46,0,22.45,0,0,0,0,0,12.15,0,0,0,0,0,0,0,0,0,0,133.97,0,0,0,70.46,0,0,0,0,13.21,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.83,20.84,4.91,0,5.61,0,0,0,1.94,0,0.95,0,0,7.52,0,0,0,0,83.9,0,34.91,118.56,8.75,0,1.27,4.35,0,12.92,0,17.94,1.85,0.88,16.39,96.12,0,0,2.18,0,0
 24-34,0,0,0,0,3.58,9.33,0,22.26,0,1.31,8.47,2.86,1.38,0,11.63,0,0.62,0,0,0,0,299.8,1.21,68.32,171.14,30.22,0.75,2.96,0,0,5.13,0,0,1.08,3.77,6.48,86.39,0,0,63.34,0,0
 36-46,0,0,0,0,6.69,1.32,0,44.13,0.65,8.71,51.68,16.42,0,4.78,7.34,0.73,0,0,0,0,3.73,544.21,5.66,105.03,183.83,74.9,0.72,14.26,0,0.77,18.8,0,0,5.96,3.36,0,81.82,0,2.41,49.18,0,2.89
 48-58,0,0,0,0,11.89,0,0,61.51,3.43,13.5,59.58,20.75,0,3.95,9.35,0,0,0,0.74,3.98,1,706.85,30.29,58.93,176.19,24.22,6.74,6.34,0,0.45,3.44,0,0,0,0,0,49.92,0,1.01,40.29,1.44,10.08
 60-70,0,0,0,0,13.1,2.47,0,55.52,0,6.11,54.47,32.07,0.77,0,7.16,3.79,0,0.79,0,0.95,0,1261.19,30.26,38.65,120.42,18.08,0,11.08,0,0.96,4.02,0,0,0,0,0,31.7,0,7.42,23.3,10.4,30.08
 72-82,0,0,0.93,0,6.26,8.45,0,58.27,0,0,75.1,32.43,1.37,0,7.62,0.59,0,5.44,0.55,2.44,0,1643.71,39.57,55.14,144.74,7.19,0.7,6.54,0,6.01,6.32,0,0,0.97,0,0,48.24,0,19.51,47.95,26.84,92.53
 84-94,0,0,0,0,7.77,3.35,0,96.86,0,2.45,50.65,28.69,1.96,0,19.19,0,1.42,30.16,1.43,0,0,1971.21,65.39,37.12,70.13,4.12,1.32,9.42,0,9.65,16.48,0,0,1.83,0,0,21.75,4.45,25.63,76.86,26.59,45.75
 96-106,0,0,0,0,17.98,1.8,0,55.64,0,3.78,47.74,30.04,2.24,0,24.27,6.47,0,54.31,0,5.22,0,1241.02,37.43,50.55,120.51,6.83,1.84,21.33,0,28.82,12.06,0,0,0.6,0,0,15.32,1.68,28.15,74.84,17.09,55.65
108-118,0,0,0,0,38.82,11.46,5.44,33.95,0,2.68,57.24,44.7,3.96,0,7.49,3.17,3.16,155.7,6.5,0.82,0,1617.64,21.67,48.76,116.44,9.74,1.46,18.49,0,14.82,15.96,0,0,1.15,0,0,33.18,1.44,13.07,99.25,29.55,88.71
120,0,0,0,0,34.14,15.1,0,72.09,2.94,1.09,71.25,50.41,1.47,0,42.7,9.4,0,106.09,0,0,0,2007.25,28.84,22.96,170.89,5.98,0,32.04,0,51.45,20.74,0,0,2.12,0,0,8.28,2.31,27.56,190.61,45.7,49.87
