stage,blastomeres,epidermis,eye,glial,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,16.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0
 10-12,0,0,9.91,0,0,0,0,0,0,0,0,19,0,3.64,0,0,0,0
 14-21,0,3.97,0,2.66,0,0,0,0,1.12,0,0,1.08,1.37,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.62,4.62,0.79,0,0,4.31,0,0
 48-58,0,0,12.95,0,0,0,0,0,0,0,0,5.95,0,0,0,0,0,0
 60-70,0,0,248.5,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
 72-82,0,4.09,499.21,3.79,0.59,0.56,0,0,0,0,0.75,16.64,0,0,0,0,0.63,0
 84-94,0,0,379.44,8.14,0,0,0,0,0,0,0,13.53,0,0,0,0,0.78,0.77
 96-106,0,0,388.67,8.18,0,0,0,0,0,0,1.69,30.38,0,0,0,0,0,0
108-118,0,4.68,366.41,7.53,0,0,0,0,0,1.5,0,19.92,0,0,8,0,0,0
120,0,16.92,157.46,0,0,0,5.27,2.11,0,0,0,77.43,0,0,0,2.02,0,0
