stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,71.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,99.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,21.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.32,0,0,0,11.52,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,11.33,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.46,17.95,0,0,12.33,0,0,6.34,0,0,0,0,0,0,0
 14-21,0,2.13,0,0,0.84,0,0,0,0,0,0.95,0,0,0,0,0,0,0,2.52,0,39.96,158.96,0,8.7,0,0,0,5.33,0,425.09,303,95.32,0,0,0,0
 24-34,0,2.38,0,3.04,0,0,17.84,4.9,0,0,1.11,0,5.8,0,5.61,0,0,0,4.9,0,29.23,674.1,2.39,6.82,0.74,0,7.48,0,0,126.58,167.15,218.78,0,0,1.94,11.02
 36-46,0,0,0,0,0.94,0,95.04,6.11,1.39,0,4.95,0,0,0,0,0,3.34,0.85,3.67,0,3.56,1251.76,0,24,0,0,7.25,0,0,49.83,3.71,478.72,0,0,3.33,0
 48-58,0,0,0,9.16,1.54,0,199.21,8.99,0.42,5.01,22.12,0,0.5,0,0,2.19,0,4.53,10.29,0,3.88,1458.62,0,8.77,0.4,8.44,8.19,0,0.56,19.53,0,530.4,0,0,0.61,2.83
 60-70,0,0,0,0.63,0,0,354.21,12.35,0,0,31.24,0,0,0,0,0,0,0,20.39,0,2.09,2066.47,0,10.79,0,0,4.92,0,0,14.11,0,540.31,0,0,0,0
 72-82,0,1.48,0,10.1,3.67,0,404.74,5.47,4.54,0.77,22.28,0,0,0,0,0,0,0,27.79,0,7.29,2001.03,0,13.71,0,0,2.67,0,0,5.68,0,349.35,0,2.51,0,4.82
 84-94,0,5.62,0,4.8,1.43,0,270.51,2.48,0.68,0,27.27,0,1.9,0,0,2.06,0,0,19.51,5.46,1.19,1597.76,0,7.82,0,0,1.67,0,0,6.58,0,217.36,0.9,0,1.72,0
 96-106,0,1.05,0,13.98,5.87,1.23,319.48,7.44,0,0,56.74,0,0,11.7,0.77,8.12,0,2.05,32.48,1.72,4.69,1401.15,0,7.42,0,0,2.68,0,0,5.15,0,133.45,1.57,0,9.44,0
108-118,0,1.17,0,7.4,1.96,0.57,431.17,4.19,0,0,56.73,0.63,0,0.98,2.04,8.15,0.49,6.45,39.66,1.08,2.82,1581.88,0.71,5.32,1.28,0,1.52,0,0,3.76,0,107.96,2.7,0,1.88,5.2
120,0,9.79,0,8.93,2.94,0,373.17,3.45,0,0,81.83,0,0,3.53,0,8.53,0,0,46.11,12.5,3,2491.86,0,0,2.66,0,1.71,0,0,3.12,0,274.01,0,3.74,2.09,0
