stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,11.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.69,0,240.74,0,0,0.7,0,0,0,0.6,0,0.64,6.07,0,2.84,55.56,0.59,0,0,0,1.64,0,0,0.68,8.5,0,0,0
 36-46,0,0,0,1347.51,0,0,0.94,0,0,0,0,0,0,6.07,0,1.65,40.82,0,1.22,0,0,16.71,2,0.7,0,7.64,0,1.95,0
 48-58,0,0,0,784.12,0,0,0.69,0,0,0,0,0,0,2.16,0,0,38.74,1.42,0,0,0,0,0,0,0,7.83,0,0,0
 60-70,0,0,1.55,1685.92,2.67,2.52,0.93,0,0,1.05,0,0,0,5.98,0,0,36.76,0,0,0,0,0,0,0,0,2.76,0,0,8.92
 72-82,0,0,2.91,1670.6,0,0,3.2,0.56,1.04,0,0.74,0,0,13.22,0,0,29.34,0,0,1.41,0,5.86,0,0,0,0.91,1.87,0,0
 84-94,0,0,0,881.26,0,0,6.02,0,0,0.67,0,0,0,6.74,0,0.87,6.21,0,0,0,0,0.73,0,0,0,0,0,0,0
 96-106,0,2.05,0.77,504.85,0,0,0,0,0,0,0,0,0,2.77,1.05,0,13.93,0,0,0,0,9.99,0,0,0,0,0,8.24,0
108-118,0,2.94,0,746.15,0.7,0.84,6.57,0,0,0,0,1.01,0,4.19,0,0,31.83,0,0,0,0,1.04,0,0,0,0,0,2.71,0
120,0,0,0,401.87,0,2.94,0,0,0,0,0,0,0,13.95,0,0,35.17,0,0,0,0,4.56,0,0,0,0,0,0,0
