stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,57.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.12,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.14,4.69,0,0,10.47,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.93,8.33,3.65,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,4.34,0,0,3.61,5.43,0,0,0.81,0,0,0,2.79,0,6.59,7.65,0,0,1.01,0,0
 24-34,0,0,56.08,0,0,3.1,0,6.59,24.23,1.19,0,0,5.53,0,0,0,0,0,0,94.44,0,0,36.31,27.07,0.63,0,0,0,0,0.81,0,0,0,4.13,0,0,32.16,0,0
 36-46,0,0,45.23,0,0,2.66,0,7.28,103.93,0,0,5.41,11.27,0,0,0,0,0,0,108.03,0,0.71,28.33,27.68,0,0,0,0,0,20.49,0,0,0,0,2.17,2.08,8.96,0,0
 48-58,0,0,44,0,0,6.61,0,34.86,162.45,2.22,0,12.96,3.62,0,0,0,0,0,1.74,130.87,2.38,0.46,16.21,45.32,0,0,0,0,0.97,6.61,0,0.37,0,0,3.71,7.16,20.69,0,2.12
 60-70,0,0,56.07,0.67,0,18.04,0,6.96,206.24,0,0,5.16,3.98,3.92,2.85,0,0,0,0,179.82,0,8.67,13.76,40.23,0,0,0,0,0,4.59,0,1.12,0,0,0,23.8,0.9,0,0
 72-82,0,0,42.84,9.51,0,34.75,0.65,12.26,230.5,3.16,1.68,6.85,11.26,0,2.27,0,0,0,0,330.67,1.03,19.83,15.78,31.52,0,0,0,0,2.79,0,0,1.69,0,0,0,48.42,9.31,14.82,0
 84-94,0,0,102.24,8.52,0,26.76,0.57,25.57,151.89,3.72,0,11.57,2.74,0,9.53,2.06,0,0.57,0,227.35,0,28.28,13.76,16.17,1.43,0,0,0,0,0,0,0.56,0,0,1.25,82.72,4.84,25.74,0
 96-106,0,0,43.27,42.19,0,23.64,0.67,1.53,154.86,5.9,1.43,1.06,15.09,1.24,0.77,0,0,1.6,7.05,294.09,0,30.92,7.31,64.83,0.59,1.03,0,0,11.28,0,0,0.88,0,0,0,73.87,1.49,23.34,2.85
108-118,0,0,75.91,14.05,0.48,18.51,0,10.82,108.8,2.23,0,0,10.12,0.52,11.23,0.77,0,0.76,0,241.55,0.77,29.75,5.14,40.24,0,0,0,0,14.55,5.38,0,0.46,0,0,0.42,127.46,3.91,25.04,0
120,0,0,97.66,23.95,0,4.93,0,4.56,154.71,12.82,0,0,10.68,0,20.41,0,2.64,0,0,303.81,1.49,17.75,15.32,60.84,0,0,0,0,0,3.79,0,1.79,0,0,0,86.66,6.51,31.81,0
