stage,epidermis,eye,glial,immune,mesenchyme,mural.cell,neural,otic,periderm,vasculature
 24-34,0,0,0,0,0,0,0.94,0,0,0
 48-58,0,0,0,0,0.94,0,1.08,0,0,0
 60-70,0,0,0,0,0,0,2.83,0,0,0
 72-82,0,1.2,3.82,0,0,0,3,1.63,0,1.56
 84-94,0,0,0,1.93,0,0,0,0,0,0
 96-106,1.37,0.73,1.28,0,2.48,1.53,7.11,0,0.56,0
108-118,0.49,0,0,0,0,0,2.99,0,0,0
120,0,0,0,0,0,0,11.2,0,2.15,0
