stage,axial,blastomeres,endoderm,eye,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,somites
  3-4,67.72,220.54,0,0,0,0,0,0,11.27,0
  5-6,19.92,309.25,0,0,0,20.87,15.57,0,0,0
  7-9,0,10.48,7.29,14.92,16.01,215.9,4.4,36.05,0,0
 10-12,0,0,9.59,7.87,0,74.57,0,22.29,0,0
 14-21,0,0,0,0,0,1.27,0,0,0,0.98
