stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,otic,pericytes,periderm,pronephros,spinal.cord,vasculature,xanthophores
  5-6,12.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.52,0,0,0,0,0,0,0,0
 14-21,0,1.79,0.82,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,3.42,0,2.79,0,0
 24-34,0,1.44,0,1.6,0,0,0,0,0,0,0,0,1.72,2.44,3.02,0,0,0,4.94,0.72,0.65,0,0
 36-46,0,0.87,0,1.39,0,0,0,0,0,0,0,0,2.24,1.45,6.75,0.55,0,0,4.85,0,1.08,0.81,0
 48-58,0,1.11,0,0.92,0,0,0,0,0,0,0,0,9.74,11.24,4.62,0.39,0,0,3.87,0,0.69,0.41,0
 60-70,0,0.69,0,0,0,2.35,0,0.65,0,0,1.74,1.02,3.38,2.77,1.8,0,0,0,3.11,0,0,0,3.39
 72-82,0,0,0,0,0,0,0.7,0,0.58,0,0,0,16.22,1.26,1.34,0,0,0,0.65,0,0,2.28,1.17
 84-94,0,2.06,0,0,0.98,0,0,3.89,0,0,0,0.61,8.89,0.82,1.92,0,0,2.65,8.02,0.67,0,0,0
 96-106,0,3.7,0,2.75,0,0,0,12.03,3.36,1.61,0,0,8.4,0.69,5.41,0.58,0,0,2.42,0,0,0,0
108-118,0,0,0,0,0,1.13,0,3.72,0,0,0,0,7.39,0,5.93,0.51,2.68,0,1.7,0,0,3.07,0
120,0,3.24,0,0,0,0,0,15.24,0,0,0,0,17.36,0,0,1.12,0,0,0,0,0,0,0
