stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,gut,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord
  3-4,0,54.24,0,0,0,0,0,0,0,0,0,0,0,64.89,0,0,0,0,0
  5-6,101.4,160.46,0,0,0,0,0,0,0,0,61.23,0,30.43,8.52,0,0,0,0,0
  7-9,189.99,25,116.88,0,0,0,0,49.12,0,0,152.42,260.33,925.64,0,0,0,0,0,0
 10-12,5.75,14.65,46.69,0,5.14,3.49,0,7.95,0,0,108.69,225.81,549.58,6.67,0,130.98,0,0,0
 14-21,0,0,2.15,9.08,8.99,0,1.01,0.81,15.23,22.68,13.76,112.45,0,2.11,69.46,6.92,35.87,103.87,14.87
 24-34,0,0,0,0.87,0,0,0,0,0,1.32,0,1.66,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,2.28,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.77,0,0,0,0,0.49,0,0,0,0,0,0,0,0
 60-70,2.52,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,3.71,0,0,1.24,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,5.04,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0.48,0,0,0,0,0
