stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,12.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,2.23,0.84,0,1362.23,0,1.87,1.35,0,0,0,0.63,0,0,3.83,1.53,91.46,2.77,1.06,0,6.24,10.88,0,6.27,0,1.43
 36-46,0,4.36,0,2420.6,0,1.13,0,0,3.17,0,0,1.55,1.42,6.52,0.77,69.1,0,1.12,0.58,3.17,30.1,0,0.65,0,12.23
 48-58,0,4.21,0,1109.77,0.97,1.23,0,7.07,0,0,0,0,0,10.42,0,73.74,0,0,0,5.75,8.6,0,0,0,0.91
 60-70,0,0,0,1118.29,0,0,0,0,0,2.66,0,0,0,5.31,2.13,28.56,0,0,0,1.01,1.51,0,0,0,0.69
 72-82,0,0,0.7,898.57,0,2.74,0,0,0,0,0,0,0,1.91,0,27.19,0,0.88,0,0,0,0,1.64,0,0
 84-94,0,2.08,0,479.12,0,0,0,0,0,0,0,0,0,7.77,0,15.75,0,0,0,0,0,0,8.15,0,0.8
 96-106,0,2.62,0,200.61,0,0,0,0,0,0,0,2.09,0,9.57,0,7.26,0,0,0,0,0,0,0,0,0
108-118,0,0,0,238.24,0,0,0,0,0,0,0,0,0,10.51,0,12.51,0,0,0,0,0,0.81,0,0.68,0
120,0,0,0,96.46,0,0,0,0,0,0,1.07,1.85,0,4.72,0,15.95,0,0,0,0,1.34,0,0,0,0
