stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,10.18,11.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,32.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.59,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.16,0,0,3.15,0,0,0,0,6.54,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.88,0,1.09,0,0,0,0,0,0,1.73,0,0,0,0,0
 24-34,0,0,0,4.95,0,0,0,0,0,0,0,0,1.86,0,0,4.07,0,0,1.82,12.12,0,0,0,0,0,0,0,0,9.15,0,0,0,0
 36-46,0,0,4.15,12.75,0,1.29,0,0,1.3,0,0,0,2.49,0,0,27.08,0,0,14.85,49.65,0,0,0,0,0,1.11,0,0,8.57,0,0,0,0
 48-58,0,0,2.09,0,0,1.36,0.56,0,0,0,0,0,0.46,0,0,26.26,3.45,0,84.82,80.03,0,1.07,0,0,0.53,0,0,0,13.75,0,0,0,0
 60-70,0,0,16.5,0,0,4.44,3.53,0,0,0,0,0,0,0,0,64.17,0,0,69.46,87.23,0,0,0,0,2.32,0,0,0,10.71,0,15.43,18.16,0
 72-82,0,0,9.2,1.75,0,13.18,0,0,6.04,0,0,0,0,0,17.97,109.69,0,7.45,119.56,58.02,0.5,0,0,0,0,1.65,0,0,2.34,0,6.78,7.68,0
 84-94,0,0,8.63,0,0.59,3.04,0,0,8.28,0,0,0,0,0,72.53,98.75,0,4.71,85.39,44.26,0.57,0.61,0,0,0,0,0,0,1.05,0,8.58,14.52,7.59
 96-106,0,0,25.71,0,0,10.97,0.9,0.57,5.22,1.61,1.6,0,2.81,0,30.34,72.93,0,8.81,133.47,114.11,0,0,0,6.53,0,4.11,0,0,4.31,0.67,11.41,47.06,0
108-118,0,0,2.44,0,0.81,9.21,0,0,6.01,0.74,0,0,2.67,2.03,51.09,60.92,0,2.81,53.89,49.24,0,0,0,0,2.37,0,1.08,0,1.92,0,14.52,33.9,0
120,0,0,11.85,0,1.14,9.14,0,0,10.24,3.94,0,3.15,0,0,18.36,105.4,0,0,71.32,67.73,4.62,0,0,14.47,3.96,0,0,0,0,0,4.65,22.59,0
