stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,11.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.16,0,0,0,7.5,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0,0,5.31,0,0,0,0,0,0,0
 14-21,0,0,10.73,1.61,1.3,0,1.39,0,0,0,0,0,1.21,0,0,0.82,14.52,0,0,0.87,0.97,0,3.08,1.71,0,0.82,6.96,0
 24-34,0,0,0.61,0,2.8,0,0.7,0,0,0.69,0,0,0.64,0,0,0,13.31,0,0,0,0,6.57,0,0,0,0,4.4,0.8
 36-46,0,0,0,0,1.51,0,0,0,0,0,0,0,0.58,0,0,0,6.61,0,1.01,0,0,1.23,0,0,0,0,1.42,0
 48-58,0,0,0,0,5.19,0,0.85,0,0,0,0,0.41,1.12,0,0,0.4,11.42,0,3.06,0,0,0.97,0,0,0,0,4.37,0
 60-70,0,0,0,0,7.29,1.15,0,0,0,0,0,0,0.8,0,0,0,34.33,0,0,0.65,0,0,0,0,2.66,0,0,0
 72-82,0,0,0,0,12.28,0,1.93,0,0,0,0.55,0.63,8.45,0,1.98,1.06,12.51,0,0,0,0,0,0,0,0,0,0,0.84
 84-94,0,0,0,0,9.97,0,0,0,0,0,0.93,0,3.07,0,0,0,8.04,0.67,0,0,0,9.71,0,0,0,0,4.16,0
 96-106,0,0,1.96,0,0.75,0,1.42,1,2.15,0,0.63,0,4.67,0,0,0,5.88,0,5.12,0.93,0,14.31,0,0,0,0,3.12,12.58
108-118,0,0,0.44,0,4.83,0.54,1.92,1.06,3.95,0,3.08,0,7.08,1.14,0,0,12.04,0,0,0,0,5.81,0,0,0,0,0,1.69
120,1.12,0,0,0,3.74,0,14.32,0,0,0,0,0,0,0,0,0,11.6,0,0,3.14,0,9.66,0,0,0,0,0,2.07
