stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,3.23,0,4.55,93.23,56.28,86.6,0,1.74,0,8.49,9.89,0,5.11,8.66,16.29,0,0,8.53,20.53,93.8,0,0,100.12,397.05,39.06,0.87,1.07,27.89,0,0,161.43,6.12,60.53,263.87,129.77,0,0,25.36,0,31.12
 24-34,0,2.55,0.83,12.39,21.03,120.83,0,14.07,4.04,8.49,0,1.08,4.86,12.54,39.66,2.57,1.54,8,63.13,85.54,3.65,0,62.82,231.19,6.74,3.67,5.06,0,0,1.49,0,7.3,0.6,49.08,93.42,0,0,180.37,0,27.93
 36-46,0,0,0,13.11,9.37,86.99,0,0.62,9.23,13.16,0,0,7.37,36.17,5.72,3.34,3.47,4.79,37.21,134.84,1.84,0.55,46.81,131.01,5.21,2.13,0,0,0.97,14.88,0,5.14,0.58,0.69,33.89,0,1.37,95.12,0,32.43
 48-58,0,0,0,5,16.15,91.29,1.11,14.44,23.26,14.36,0,0.39,3.84,40.19,2.63,8.48,1.39,0,43.76,131.26,0.84,2.41,44.59,117.24,7.1,3.58,0.64,0,0.96,1.97,0,2.87,1.11,0,26.65,0,0.89,69.35,0,29.21
 60-70,0,0.82,0,6.58,17.23,98.18,1.23,3.51,26.92,68.61,4.03,0,3.57,42.27,5.66,2.64,1.43,1.37,0.73,247.46,0,6.02,30.2,184.19,0,0,0.63,0,1.9,0,1.38,8.78,0,0,11.96,0,2.26,46.5,0.85,12.36
 72-82,0,0.68,0,4.81,32.63,62.24,0.52,5.34,58.49,68.86,0.56,0,3.27,38.73,6.67,2.3,1.99,0,2.32,366.18,3.98,13.56,36.89,110.49,0.56,1.87,6.51,0,9.11,0.59,0,24.88,0.53,0,10.23,2.09,14.65,70.79,6.3,2.21
 84-94,5.55,0,0,23.54,37.37,90.43,3.81,13.32,25.73,67.83,3.93,1.24,13.74,50.55,15.98,9.36,1.94,0,11.58,313.22,8.56,15.53,43.98,70.95,0,1.1,14.33,0,5.49,1.32,0,60.75,1.52,0,7.68,0,12.6,66.66,4.93,3.62
 96-106,0,0.91,0,20,40.41,36.27,1.77,22.72,24.33,105.61,7.86,0,3.44,64.01,23.03,7.55,8.3,3.85,6.47,362.81,10.2,21.65,34.04,72.25,1.06,4.04,13.49,0,19.94,1.89,0,60.36,0,0,0.99,1.68,9.37,100.73,5.9,3.18
108-118,0,1.13,0,24.99,36.28,58.95,0.54,23.02,12.85,92.14,6.26,0,4.26,61.72,24.5,23.4,4.44,1.06,2.52,359.65,4.39,23.73,44.44,95.12,2.36,4.02,6.98,0,27.05,3.14,0,49.62,0,0,0.64,0.42,7.95,77.85,5.46,22.45
120,0,0,0,24.03,38.64,28.27,0,28.38,23.8,94.7,5.24,0,0,90.79,13.84,35.33,6.9,0,1.33,230.42,0,35.44,24.19,85.14,2.26,0,9.04,0,42.65,37.01,0,22.23,0,0,16.38,1.1,18.28,44.18,3.35,3.15
