stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.55,0,0,0,0,0,0,0,0,0
 14-21,0,25.74,2.14,0,0,0,0,3.86,0,0,1.07,0,0,1.52,0,0,0,0,0,0,4.6,0,0,0
 24-34,0,12.25,0,0,0.85,0,0,0,0,1.46,0,0.69,0,0,3.26,2.12,0.64,0,0,0,3.99,0,0,0
 36-46,0,52.26,0,0,0,0,0,0,0.75,3.14,0.9,0,0,0,8.57,0,0.92,0,0,0,0,0,0,0
 48-58,0,66.31,0,3.01,2.17,0,0,0,0,0.65,3.94,0,0,0,11.59,0,0.54,0.4,0.41,0,3.76,0,0.61,0
 60-70,0,92.3,0,14.25,21.44,0,0,0,0,1.26,3.77,0.85,0,0,7.45,0,0,0,0,1.17,0,0,1,0
 72-82,0,56.56,2.12,4.84,14.46,0,2.35,0.56,0,4.1,0.69,0,0,0,12.48,0,0,0,0,0,0,1.87,0,0.5
 84-94,0,155.69,0,12.56,24.18,0.84,0,2.77,0,3.54,6.84,1.98,0,0,10.73,0,1.27,0,0,0,10.5,0,0,0
 96-106,0,178.46,1.43,12.15,34.86,0,8.12,2.86,0,6.77,1.87,2.51,0,0,28.1,0,0,0,3.78,0,0,0,0,0
108-118,0.74,207.03,5.36,10.7,69.13,0,7.26,7.57,0,3.32,7.4,1.31,4.62,0.97,11.79,0.46,2.89,0,3.84,0,0,0,0.5,0
120,0,101.91,0,0,34.57,0,0,2.75,0,1.11,1.84,1.63,0,0,27.64,0,0,0,0,0,0,0,0,0
