stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching.gland,ionocyte,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,0,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.79,9.15,0,0,3.67,0,0,9.53,0,0,0,0,33,0,13.91,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,72.79,0,6.41,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.98,0,0,0,0,0,0,1.96,22.88,0,0,0,0.95,0,2.87,10.22,0.81,0
 24-34,0,0,0,0.83,1.09,0,0,0,0,0,0,0,17.19,0,0,0,0,0.78,0,2.75,0,0
 36-46,0,0,0,0,1.28,0.73,0,0,0,0,0,0,13.32,0,0,0,0,0,0,6.82,0,0
 48-58,0,0,0,0,5.24,6.13,0,0,0,0,0,1.6,9.26,0,0,0,0,0,0,3.4,0,0
 60-70,0,0,0,0,5.63,0.87,3.35,0,0,1.72,1.07,0,4.91,0,0,2.21,0,0,0,0.64,0,0
 72-82,0,0,0.72,3.71,1.07,1.54,0,0,0.57,0,3.94,0,1.26,0,0,0,0,0,0,7.52,0,0
 84-94,0,0,0,0,0.92,0,0,0,0,0,0.66,1.01,2.13,0,0,1.55,0,0,0,0,0,0
 96-106,0,0,5.12,0,0,2.75,0,0,0,0,1.99,0,0,0,0,2.6,0,0,0,0,0,0
108-118,0,0,0,2,7.09,1.2,0,0,0,0,3.27,0,1.94,1.09,0,0,0,0,0,0,0,0
120,0,0,0,1.08,0,3.73,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,17.7
