stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,10.59,1.12,0,1.74,0,0,0,0,0,2.04,2.08,0,0,1.73,0,0,0,2.73,0,0,1.56,201.96,1.89,0,0,0,11.37,4.82,0,0,0.94,0,0,0,0.96,0,0.85
 24-34,0,0,48.9,0,0,22.92,0,3.66,1.86,5.66,0,0,5.23,0.64,7.15,1.45,1.75,0,1.28,75.08,0.68,0,1.79,2310.39,0,3.07,0.94,0,63.69,0,0,0,4.5,58.1,0,0,4.13,0,0.72
 36-46,0,0,80.72,10.58,0,172.24,4.05,12.17,0.78,193.94,0.66,0,17.57,0.71,0,0,7.86,1.74,7.22,205.12,4.75,1.94,18.01,6471.51,0.68,13.56,4.04,0,167.55,0,0,0,0,415.4,0,0,27.12,0,0.56
 48-58,0,1.67,143.45,18.15,0,826.62,3.45,19.97,7.69,354.27,11.16,0.37,9.91,0.45,12.84,16,11.91,14.97,11.82,405.27,11.81,17.81,40.77,11024.63,0.47,3.32,6.38,1.54,278.63,0,0.46,0.63,0,961.04,0,0.92,36.2,0.72,24.29
 60-70,0,0,135.62,13.89,0,1089.82,4.41,14.41,20.38,247.07,12.74,0.98,25.1,6.02,22.45,0,11.78,2.97,1.46,480.8,14.65,3.48,15.58,11232.19,0,3.02,9.75,5.97,299.51,0,0,0,0,798.7,1.44,3.75,27.68,4.01,23.2
 72-82,1.46,0,178.42,155.75,0,1168.43,2.2,15.61,21.53,224.19,11.79,0,15.58,4.27,15.07,4.06,10.51,0.88,8.08,583.47,26.94,21.34,35.37,9111.87,7.76,8.37,7.54,2.42,335.32,0,0.68,1.5,0,457.68,9.4,5.87,39.69,17.19,46.01
 84-94,0.8,0,233.98,115.46,0.8,1013.8,1.45,37.26,9.1,157.91,9.74,0,15.08,11.63,32.49,12.24,10.33,2.03,13.9,462.46,42.55,23.14,25.24,5977.91,6.48,18.09,18.95,16,813.19,0,2.14,0.83,0,361.97,1.77,6.18,35.51,22.1,13.43
 96-106,1.53,0,260.61,286.8,0,663.45,5.06,27.09,25.25,125.81,19.7,0,8.9,15.19,16.23,1.95,26.04,30.18,2.59,426.25,54.9,12.95,25.6,4749.37,1.4,13.29,15.29,5.94,742.73,0,1.3,2.24,0,129.91,6.36,9.58,33.4,37.78,13.96
108-118,0.71,0,228.83,90.51,6.91,559.89,2.06,28.72,5.55,109.78,24.64,0,13.44,5.27,23.1,1.54,11.78,4.88,17.97,456.65,38.02,25.85,8.36,5898.88,0,10.8,8.42,4.91,562.54,0,0,0,0,86.79,3.97,10.59,34.38,14.32,14.52
120,0,0,256.45,89.38,14.77,882.42,3.55,32.66,36.94,199.97,22.88,0,6.8,15.6,16.65,3.86,20.2,7.84,4.17,433.41,16.85,23.67,26.28,7446.84,3.21,13.32,15.51,0,281.05,0,1.14,0,0,55.06,12.4,8.19,30.7,28.05,4.15
