stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,106.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.42,38.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,6.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.51,1.01,4.08,1.46,0,3.2,0,0.87,0,0,0,8.72,1.02,0,0,0,0,0,9.71,0,0,1.37,150.31,0.87,2.12,0.81,1.33,0,0,0,1.06,9.54,101.52,0,0,0,0,3.62
 24-34,0,0,8.75,0,10.84,0.69,0,28.51,0,0,0.7,5.13,0,11.22,2.77,0.98,0,0.68,0,0,4.1,0,0,1.33,1302.36,1.43,21.35,23.74,0,0,1.56,0,3.28,11.94,418.12,0,0,3.27,0,0
 36-46,0,0,0.99,0,4.28,0,0,50.38,0,0,0.82,6.38,0,6.18,0,10.61,0,0.57,0,0.61,4.59,0,0,0,2982.59,2.73,27.45,4.42,0,0,6.96,0,0,0,764.86,0,0,0.65,0,0
 48-58,0,0,0,0,32.51,0,0,388.01,0,6.47,2.28,31.7,0,2.16,0.49,0,4,7.12,0,2.93,16.67,0,0.98,0.51,4107.24,5.29,13.7,10.06,0,0,2.94,0,1.23,0,726.24,0,0,3.02,0,16.37
 60-70,0,0,0.86,0,18.71,0.6,0,1780.84,0,2.37,1.92,48.41,0,2.32,2.17,0.6,22.3,7.63,2.6,0,38.64,0,0,1.39,6808.67,8.03,17.37,23.49,5.14,0,9.56,0,11.05,0,959.03,0,1.5,9.76,0,20.04
 72-82,0,0,1.94,0,25.82,8.87,0,3683.99,0,5.24,7.02,74.37,4.81,1.5,7.69,0,4.38,11.82,0,3.59,69.52,2.7,6.05,5.39,7398.25,1.23,33.82,43.91,0,0,15.35,1.65,0.78,0,669.31,5.03,3.43,3.4,1.85,24.18
 84-94,0,0,4.18,0,46.3,16.75,0,3066.02,0.95,1.22,3.41,134.82,5.62,0,6.47,0,3.35,14.15,10.62,7.62,48.87,7.25,1.86,2.62,5551.91,0,32.62,80.33,0,0.83,9.72,0,0.57,0,516.55,2.82,10.01,10.77,2.62,6.78
 96-106,0,0,3.45,0,39.53,16.2,0,3266.73,0.62,0,2.82,142.93,9.08,1.22,7.74,0,2.36,44.02,1.69,0,54.76,10.12,3.09,14.32,4545.54,0,31.91,70,0,0,28.45,0,2.01,0,277.09,2.63,0,12.38,2.55,25.06
108-118,0,0,0.54,0,41.27,8.88,0,2794.56,1.21,0,1.5,123.31,5.07,1.2,6.12,1.01,0,19.7,3.17,7.28,46.53,1.81,0,6.22,5575.53,0,34.59,66.26,0,0,4.23,0,1.98,0,217.42,7.13,0,4.28,5.35,0
120,0,0,0,0,48.57,5.6,14.01,2502.78,0,0,0,205.23,22.58,1.85,13.3,0,0,27.99,1.5,0,51.33,0,11.82,5.82,8463.23,0,69.62,82.52,0,0,15.6,0,0,0,198.97,5.98,4.12,0,0,0
