stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.73,0,0,0,15.33,0,0,0,0,0,32.32,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.49,0,9.66,0,0,0,9.44,0,0,0,0,0,142.47,0,0,0,0,0,0,0,0,0,0,0,374.51,0,0,0,51.13,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,10.1,0,15.77,5.32,0,14.63,0,0,0,14.94,1.46,43.15,2.93,0,1.74,0,0,0,0,0.81,0,0,0.94,286.83,3.19,12.7,1.99,1.64,0,0,0,3.39,5.21,0,244.28,0,0,0,0,0
 24-34,0,4.31,0,7.79,1.59,0,104.41,0,0,0,10.29,0,18.67,0.68,0,1.49,0,3.36,0,0,8.43,0,0,1.64,1020.51,0,71.61,3.95,0,0,0.85,0,0,0.63,1.16,421.47,0,0,1.69,0,0
 36-46,0,4.59,0,2.69,0,0,677.41,0,0,0,30.04,0,1.8,0.89,1.27,0,0.71,0,0,0,9.42,3.03,0,1.65,1984.49,0.59,104.76,4.46,0,0,0,0.81,0,0,0,582.31,0,0,0.62,0,6.68
 48-58,0,0,0,6.61,0.74,0,1780.61,0,4.31,9.4,91.2,0,12.28,0,0,13.81,0,0,4.18,0.86,8.69,2.22,5.16,1.78,2021.57,0,47.19,4.44,0,0,4.31,0,0,0,0,502.57,0,0,1.12,0,5.36
 60-70,0,3.29,0,9.58,0,0,4030.52,0,1.82,0,99.78,3.25,4.76,0.93,6.9,0,0,0,0,0,27.44,2.85,1.73,2.37,2448.19,0,42.12,8.57,0,1.53,3.55,0,0,1.29,0,376.59,0,0,1.24,0.64,13.18
 72-82,0,12.82,0,17.91,6.67,0,4529.57,6.87,0,0.82,109.06,8.79,1.64,4.36,10.46,0,0,0,6.29,0,28.3,8.74,0,1.48,1968.4,0,47.33,12.02,0,0,3.37,0,0,0,0,258.2,2.03,0.85,19.02,7.47,1.49
 84-94,0,14.47,0,9.23,0.58,0,2962.64,0,0.62,3.31,142.21,4.85,6.68,1.67,0.59,0,1.13,2.92,0.83,0,47.99,17.58,1.93,0.71,1396.13,0,57.83,12.26,0,0,12.55,0,0,1.47,0,186.88,1.17,0.64,1.46,0.72,0
 96-106,0,3.44,0,25.45,4.95,0,2881.44,2.35,0.9,5.17,147.94,16.71,0,0.73,1.63,1.36,0.81,2.74,0.73,0.67,32.75,7.93,1.38,1.52,1191.56,0,63.72,32.97,0,0,20.66,0,0,0,0,101.12,2.83,2.03,2.91,0,10.33
108-118,0,10.83,0,16.66,4.49,4.67,2224.87,0,0,0,103.99,15.37,0,0.92,1.79,0,0,0,3.13,0,31.36,10.03,2.03,0.95,1432.42,0,41.46,16.92,0,0,0,0,0,1.83,0,49.65,5.35,2.36,0.93,4.76,0
120,0,13.06,0,18.16,0,0,1597.69,0,1.16,0,137.42,22.16,0,3.06,2.07,0,8.53,0,9.22,0,31.45,6.77,3.66,1.42,2254.94,1.33,66.81,38.13,0,0,4.19,0,0,0,0,65.24,0,0,2.09,0,0
