stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.06,0,0,0,0,0,0,10.74,0,0,4.75,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,0,0,0,0.81,0,0,0,0,0,0,0.89,0,8.21,13.6,0,0,0,0,0,0
 24-34,0,0,1.98,0,0,0,15.72,58.04,0,0,0,0,2.15,0,0,0,0,0,0,11.73,0,0,10.53,23.08,0,0,0,0,0,1.28,0,0,84.54,44.07,6.81,0,0,0,0,0
 36-46,0,0,0,0.94,0,0,5.97,433.19,0,0.75,1.58,0,0.72,0,0,0,0,0,0,28.16,0,0,71.57,51.7,0,0,0,0,0,11.69,0,0,283.77,22.3,14.68,0,0,0,0,0
 48-58,0,0,0,21.78,2.36,0,50.63,666.35,0,2.68,7.6,0,1.22,0,0,0,1.13,0,7.8,53.81,0,0,84.62,167.37,1.29,0,0,0,0,12.83,0,0,319.06,0,21.8,0,0,3.76,0,15.3
 60-70,0,0,0,0,0,0,43.47,493.85,0,3.45,11.7,4.15,0,6.45,5.28,0,0,0,0,56.53,0,0,94.8,109.44,0,0,0,0,0,0.94,0,0,243.2,0,15.4,0,0,0.64,1.06,6.89
 72-82,0,0,0,3.67,6.8,0,138.54,634.81,6.51,2.68,12.85,0,4.56,4.44,0,9.71,0,0,3.71,137.76,0,0.77,48.68,177.97,0,1.5,0.65,0,1.05,8.37,0,0,169.96,0,17.27,0,1.35,9.97,1.67,10.12
 84-94,0,0.56,0,6.26,22.72,0,127.69,1203.43,0.67,9.22,31.71,3.97,2.05,5.55,2.23,0,0,0,11.42,163.93,0,3.81,80.37,160,0,1.39,0.87,0,0,20.31,0,1.19,304.46,0,20.27,0,1.04,10.97,1.42,16.3
 96-106,0,4.56,0,21.95,84.22,15.87,387.21,1869.5,4.3,15.93,100.05,7.91,1.98,9.19,0.77,0,4.1,18.33,0,203.8,4.34,10.16,87.42,428.6,0.97,3.07,6.37,3.61,3.28,55.25,0,0,247.8,0,5.16,7.61,7.08,13.49,4.12,25.78
108-118,0,0,0,16.01,22.28,4.31,154,1819.84,5.04,1.19,36.37,2.72,3.96,11.43,1.66,12.92,5.76,6.93,7.48,148.81,8.58,1.81,120.72,273.61,0.51,1.9,2.09,0,2.96,22.26,0,0.45,227.17,0,10.79,0,1.11,10.51,15.3,25.3
120,0,0,0,11.82,19.39,0,67.26,827.35,0,0,35.53,2.77,0,6.47,0,0,0,6.37,0,138.02,0,0,67.08,192.14,0,0,0,0,0,16.22,0,1.79,55.98,0,8.91,0,3.84,22.54,9.81,17.83
