stage,axial,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vasculature
  3-4,31.45,32.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.85,45.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,15.56,0,0,0,0,0,0,0,0
 10-12,0,5.09,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.4,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.92,0,0,0,0,5,0,0,0,0,0,1.74,1.89,0
 24-34,0,0,0,0.84,0,0,1.02,0,0,0,0,0.72,0,12.12,0,1,0,0,0,0,1.47,0
 36-46,0,0,0,1.28,0,0,0,0,0,0.74,0,3.84,0,24.07,0,0,0,0,0,0,2.19,5.71
 48-58,0,0,0,13.36,0,0,0.46,4.17,0,0,1.48,1.19,0.95,17.94,0,0,0,0,0,0,2.91,0
 60-70,0,0,0,30.27,0,0,2.98,0,0,0,0,0.89,0,25.1,0,0,0,0,0,0,10.24,0
 72-82,0,0,0,24.38,0,0.59,0.56,0,0,0,0,2.33,0,7.66,1.22,0,0,1.1,0,0,2.71,0.8
 84-94,0,0,0,8.37,0,0,5.48,0,0,0,0,3.63,0,2.72,0,1.29,0,0,3.91,0,3.28,0
 96-106,0,0,0,18.14,0,0,5.85,0,0,0,0,2.55,0,16.24,0,0,0,0,0,0,0.83,0
108-118,0,0,0.51,15.01,2.34,0,1.7,0,0,0,0,1.36,0,7.57,0,0,0,0,0,0,0,1.42
120,0,0,0,0,0,0,0,0,0,0,0,1.59,0,27.96,0,0,0,0,0,0,0,0
