stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.32,216.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.14,0,0,0,0,0,0,0,0
  5-6,7.95,435.89,0,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,23.76,0,0,0,6.24,15.76,0,0,0,0,0,0,0,0
  7-9,19.28,23.76,21.41,0,0,0,30.7,0,0,0,0,0,42.46,0,0,0,0,0,0,0,0,0,0,0,524.71,52.59,0,0,98.91,0,7.62,0,0,0,0,0,0,0
 10-12,0,0,22.79,0,0,0,39.8,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0,0,469.12,3.74,0,0,97.99,0,0,34.7,0,0,0,0,0,0
 14-21,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0.71,0,22.29,0,0,0,0,0,1.54,11.65,0,186.87,50.41,0,0,0,0,0,1.68,0,0,0,0
 36-46,0,0,0,0,641.06,0,2.81,0,0,0,0,0,0,0,0,0,0,6.69,0,7.71,2.48,0,0,0,26.16,0,187.59,38.94,0,2.09,0,0,0,4.54,0,0,0,0
 48-58,0,0,0,0,24.46,0,0,0,0,0,0.7,0,0,0,0,0.46,0,140.39,0,0,0.58,0,0,0.7,5.86,0,11.02,18.49,0,0,0,0,0,3.1,0,0,0,0
 60-70,0,0,0,0,11.94,0,9.81,0,0,0,0.77,0,0,0,0,1.4,0,412.78,0,0,3.88,0,0,0,5.89,0,29.9,249.99,0,0,0,0,0,0,0,1.11,0,0
 72-82,0,0,0,4.92,2.63,0.9,40.02,0,0.78,1.26,24.97,3.89,0,0,0.63,0.83,0.73,917.82,0,0,16.88,0,0,0,70.95,0.85,130.57,102.3,0,10.06,0,0,1.5,0,4.95,0,0,0
 84-94,0,0,0,0,5.65,0,24.37,0,0,1.7,4.31,0,0,0.78,0,4.73,0,1347.35,0,0,9.85,0,0,0,22.51,0,18.71,51.28,0,2.77,0,0,0,4.89,0,1.22,0,2.42
 96-106,0,0,0,9.45,21.89,3.57,47.36,2.97,0,0,14.47,3.2,0,0,2.14,0.77,0,2495.01,9.58,0,20.97,1.22,2.62,3.54,36.97,0,54.37,13.72,0,17.72,0,0,0,0,0,0,0,0
108-118,0,0,0,41.08,24.91,0.5,17.35,0,2.57,4.2,3.18,1.49,0,0,1.27,2.75,0,1772.26,3.11,0,20.37,0,0,0,85.57,0,123.83,67.87,0,6.69,0,0,0,0,0,3.2,1.26,3.99
120,0,0,0,6.13,0,0,21.03,0,0,1.49,2.04,0,0,0,9.08,0,0,1687,0,0,10.24,0,0,6.51,112.23,6,81.37,18.9,0,4.99,0,0,0,2.78,0,2.48,0,0
