stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.11,1.27,0,3.25,0,0,0,0,0,0,0,0,0,2.97,0,0,1.97,0,0,0,0,0,3.27,1.15,0,0,0
 24-34,0,2.66,0.95,581.89,0,0,0,0,0,0,0,0.68,3.11,4.33,0,1.6,78.17,0.68,1.45,0.75,13.12,0,1.86,13.86,0.81,0,0
 36-46,0,0.89,0,2350.68,0,0,5.08,0,0,0,0,0,0,4.4,0,7.47,62.55,11.49,0.6,0,2.9,2.11,0,12,0.75,0,5.89
 48-58,0,2.59,0,1384.7,0,0,8.71,0,0,0,0,0,0,10.8,0,3.5,53.87,3.49,0,0,2.54,0,0,7.52,0.44,0,6.21
 60-70,0,0,0,3076.39,0,0,6.11,0,0,3.24,0,0,2.53,9.65,0.86,0.95,49.71,0,0,0.9,3.26,0,0,4.93,0.58,0,10.29
 72-82,0,0,4.86,2713.71,2.7,0,2.03,1.13,0,0,0.74,0,0,19.95,0,0.55,22.26,0,0,0,1.78,1.87,0,3.85,0,3.41,0
 84-94,0,0,0,1784.23,0,0,0.89,0,0,0.7,0,0,0,4.37,0.73,0,7.18,1.18,0,0,1.69,0,0,0,2.63,0,0
 96-106,0,0.57,0,938.28,0,1.4,0.88,0,0.61,0.73,1.8,0,0,4.81,0,0,23.01,0,0,0,3.62,0,0,0,0,0,0
108-118,0,1.96,2.08,1187.11,0,0,6.12,4,0,0,0,0,3.9,20.38,0,0.92,12.56,0,2.15,0.58,3.79,0,0,0,0,0,0
120,0,2.15,0,1069.46,0,1.14,17.26,0,0,1.87,0,0,0,28.18,0,2.4,5.24,0,0,19.75,8.54,0,0,0,0,0,0
