stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,immune,mesenchyme,muscle,neural,periderm,vasculature
  5-6,6.59,0,0,0,0,0,0,0,0,15.07,0
  7-9,0,0,0,0,0,0,0,0,5.19,11.82,0
 10-12,0,0,0,0,0,0,0,0,37.46,3.07,0
 14-21,0,0,0,0,0,0,0,0,0.96,0,0
 24-34,0,0,0,0,0,0,0,0,0.66,0.73,0.63
 36-46,0,0,0,0,0,0,0,0,0,7.76,0
 48-58,0,0,0,0.85,0,0,0,0,0.73,3.05,0
 60-70,0,0,0,0,0,0,0.6,2.21,0,1.24,0
 72-82,0,0,0,0,0,0,0,0,0.94,1.37,0
 84-94,0,0.64,7.15,0,0.66,0,0,0,1.05,0,0.75
 96-106,0,0,0,0,0,0,6.04,0,0,10.07,0
108-118,0,0,0,0.43,0.76,0.98,2.9,0,1.67,2.96,0
120,0,0,0,0,0,3.36,0,0,0,10.06,0
