stage,blastomeres,erythrocytes,eye,hatching_gland,lateral_line,mesenchyme,neural,olfactory,otic,spinal_cord
  3-4,24.45,0,0,0,0,0,0,0,0,0
  5-6,7.78,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.94,0,0,18.01,0,0,0
 10-12,0,0,0,0,0,0,20.24,0,0,0
 24-34,0,0,0,0,0,0,3.46,0,0,0
 36-46,0,0,0,0,0,0.56,0,0,0,0
 48-58,0,0,0.76,0,0,1.83,8.14,0,0,2.68
 60-70,0,0,1.97,0,0,0.62,5.37,1.4,0,0
 72-82,0,0,0,0,0,1.68,4.02,0,0,2.89
 84-94,0,0,0,0,0,0,0,0,0,1.19
 96-106,0,0,11.59,0,1.31,1.37,4.77,0,1.74,0
108-118,0,3.63,0,0,0,0,0,0,0,0
