stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,16.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.18,0,0,9.83,0,0,4.46,0,0,0,0,0,0,0
 14-21,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,1.15,0,0,0,0,0,0,1.1,3.27,3.94,0,0,0,0
 24-34,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0,0,5.3,28.98,1.72,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,4.1,0,0,5.83,50.45,4.47,0,0,0,0,0,0,0,5.24,1.23,0,0.78,0
 48-58,0,0,0,0,0,0,8.97,0,0,0,42.37,0,0,0,0,0,19.89,0,0.72,0.78,126.99,0,0.52,0,0,0,0,0,0,8.84,0,0.45,0,0
 60-70,0,0,0,0.63,0,0,5.14,0,0,0,722.84,0,0,0,0,0,37.96,0,0,0,153.71,2.46,0,0,4.52,0,0,0,0,9.53,0,0.68,0,0
 72-82,0,0,4.88,0.49,0,0,48.79,0,0,4.21,1906.67,2.52,0.6,0,0,0,79.82,0,0,5.56,241,0.95,0,0,6.59,3.23,0,0,0,29.64,0,0,3.44,0
 84-94,0,0,1.4,29.74,1.24,0,29.65,4.02,0,0,1940.78,1.6,0,1.07,0,5.83,96.91,0,1.82,3.28,207.71,0,1.54,0,8.71,1.37,0,0,0,30.63,0,0.61,1.44,0
 96-106,0,0,4.68,37.8,2.84,1.12,267.72,0,25.98,0,2661.07,0.93,13.59,0,0,18.45,142,0,3.8,5.42,233.92,2.94,3.97,0,67.61,14.54,0,0,0,13.43,0,1.91,9.56,0
108-118,0,0,1.73,3.05,9.23,0,47.05,0,1.25,2.07,6835.12,11.99,6.08,0,0,0,112.23,0,4.06,6.03,363.99,1.61,6.25,0,58.83,5.54,0,0,0,10.54,3.44,0.85,2.77,5.17
120,0,0,0,10.28,1.3,0,145.05,5.69,0,1.49,7442.92,1.34,6.07,0,0,18.38,132.62,2.21,0,1.27,227.48,0,6.3,0,59.95,1.3,0,0,0,12.69,0,26.24,10.35,17.42
