stage,blastomeres,epidermis,eye,glial,ionocyte,lateral_line,neural,notochord,otic,periderm,pronephros,spinal_cord
  3-4,20.64,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.32,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.9,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,50.54,10.92,0,0,0,0
 14-21,0,0,0,0,0,0,0.96,0,0,3.65,0,0
 24-34,0,0.62,0,0,0,0,0.87,0,0,4.72,0,0
 36-46,0,0,0,0,0,0,1.33,0,0,0.61,3.26,0
 48-58,0,0,0.57,0,0,0,0.71,0,4.53,3.56,0,2.16
 60-70,0,0,4.16,0,0,0,1.7,0,5.4,0.71,0,4.54
 72-82,0,0,2.58,0,0.52,0,0,0,8.2,0,0,0
 84-94,0,0.84,4.85,0,0,0.78,8.25,0,7.78,5.29,0,0
 96-106,0,0,0,2.59,0,0,0,0,10.48,2.52,0,0
108-118,0,0,0,0,0,0,0,0,17.22,8.12,0,0
120,0,2.29,3.55,0,0,0,0,0,19.37,0,0,0
