stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,muscle,neural,notochord,periderm,spinal.cord,vasculature
  3-4,12.35,35.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,0,0,0,0,0,0,0,1.56,0,0,3.43,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.91,31.27,0,0,2.53,0.91
 36-46,0,0,0,0,0,0,0,0,0,0,0,172.94,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,118.99,0,0,4.86,0
 60-70,0,0,0,0,0,0.97,0,1.86,0,2.06,0,365.96,0,0,0,0
 72-82,0,0,0,0,0.58,13.7,0.59,0,6.58,0,0,523.71,0,0,4.33,0
 84-94,0,0,0,0.78,5.36,14.74,0,0,0,2.73,0,314.66,0,2.23,5.37,0
 96-106,0,0,1.1,0,7.59,74.58,3.82,0,0.71,6.91,0,494.85,0.97,0,4.76,2.02
108-118,0,0,0,10.77,0.84,96.8,1.42,0,0,0.81,0,897.21,0,0,2,0
120,0,0,0,12.48,2.1,148.5,0,0,20.75,8.89,0,1963.95,8.4,0,20.49,0
