stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,notochord,otic,periderm,spinal.cord,vasculature
  3-4,68.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.49,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0
  7-9,4.73,0,0,4.17,0,0,0,0,0,0,0,4.82,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,12.9,0,0,0,0,0
 14-21,0,0.89,0,0,0,0,0,0,0,0,2.92,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,2.59,0,0,1.41,0,0
 36-46,0,0,0,0.77,0,0,0,0,0,0,10.19,0,0,1.23,1.29,0
 48-58,0,0,0,1.34,0,0,0,0,0,0,6.5,0,0,0,0,0
 60-70,0,0,0,7.63,0,0,0,0,3.25,0,11.64,0,0,0,1.18,0
 72-82,0,0,0,7.17,0,0.7,0,0,1.9,0,14.76,0,0.54,0,0,0
 84-94,0,0,0,16.69,1.86,2.41,0,0,1.09,0,6.95,0,0,0,0,0
 96-106,0,0,1.82,0.57,0,3.39,0.74,8.78,2.6,0.81,6.7,0,0,0,0,0
108-118,0,0,0,15.58,5.44,0.7,0,0,0,0,0,0,0,0,0,1.08
120,0,0,0,2.87,0,0,0,0,0,0,4.53,6.07,0,0,0,2.09
