stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,31.45,1118.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.74,0,0,0,0,0
  5-6,70.92,1234.89,0,0,0,0,0,0,0,0,16.22,0,0,0,0,0,0,27.18,52.98,0,0,0,0,0
  7-9,34.87,3.94,0,16.48,0,0,68.96,0,0,0,0,0,0,0,497.82,24.71,0,135.19,0,0,0,0,0,0
 10-12,0,0,0,34.79,0,0,6.71,0,0,0,13.78,0,0,0,337.15,19.15,0,73.4,0,16.31,0,0,0,0
 14-21,0,0,0,0,0,2.19,0,0,0,0,0,0,2.61,0,10.85,0,0,0,0,0,1.83,0.91,2.99,0
 24-34,0,0,0,0,0.74,0,0,0,0,1.08,0,0,1.45,2.61,19.24,0,0,0,0,0,0,0,4.7,0
 36-46,0,0,1.4,0,0,0,2.96,0,0,0,0,0,0,0,15.57,0,0,0,0,0,0,0,2.39,0
 48-58,0,0,0,0,0,0,11.93,0.94,0.63,0,0,0.39,6.44,0,20.3,0,0,0,0,0,0,0,4.3,0
 60-70,0,0,0,0,2.97,0,9.67,0,0,0,0,0,3.7,0,7.58,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.64,0,1.08,0,0,0,7.75,0,12.69,0,0,0,1.33,0,0,0,0,0
 84-94,0,0,0,0,2.29,0,5.89,0,1.97,1.51,0,0,1.36,2.01,16.74,0.9,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.85,0,1.41,0,2.46,0.85,0,0,1.27,0,4.62,0,0.69,0,0,0,0,0,0,0
108-118,0,0,0,0,0.88,0,1.78,0,4.14,0,0,0,0,0,9.86,0,0,0,0,0,0,0,0,0.45
120,0,0,0,0,0,0,0,0,0,0,0,0,8.13,0,7.51,0,3.67,0,0,0,0,0,0,0
