stage,axial,blastomeres,epidermis,eye,glial,immune,liver,mesenchyme,neural,notochord,otic,paraxial_mesoderm,spinal_cord
  3-4,10.12,424.73,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.01,68.95,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,7.28,0,0,0,0
 10-12,0,0,0,16.8,0,0,0,0,16.71,6.18,0,3.47,0
 14-21,0,0,0,0,0,0,0,0,1.11,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,20.66,0,0,0,0
 36-46,0,0,0,1.82,0,0,0,0,29.11,0,0,0,0
 48-58,0,0,0,14.4,0,0,0,0,27.14,0,0,0,1.72
 60-70,0,0,0,34.18,1.51,0,0,0.94,42.94,0,0,0,1.82
 72-82,0,0,0,7.78,0,0,3.06,0,64.15,0,0,0,0.7
 84-94,0,0,0.63,8.34,1.14,0,0,0,27.68,0,0.69,0,0
 96-106,0,0,0,6.03,0,0,0,1.61,23.6,0,0,0,12.69
108-118,0,0,1.1,3.29,2,1.01,0,0,85.6,0,0,0,6.1
120,0,0,0,4.83,0,0,0,0,83.4,0,0,0,0
