stage,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.59,2.49,0,0
 24-34,0,0,0,1.06,0,0,0,0,0,0,0,4.93,68.81,1.15,0
 36-46,2.21,0,1.58,0.57,0,0,0,1.35,0,0,0,0.61,110.04,0,0
 48-58,1.29,0,0.86,2.13,0.49,0,0,0.42,1.12,0,0.94,3.1,117.88,2.4,0
 60-70,3.23,0,3.26,0,0,0,0.58,1.82,0,0,0,1.08,145.69,2.76,0
 72-82,4.56,0,2.42,1.48,1.54,0,0.67,0,0,0,0,0,83.56,0,0
 84-94,9.37,0,0,0,0,0.81,0.6,0,1.12,0,0,5.36,171.9,0,0
 96-106,12,3.64,12,0,0.57,0,0,1.66,0,0,0,4.19,166.15,0,1.59
108-118,11.82,0,0,0.74,0,0.43,1.04,0,1.51,0.69,0,14.01,93.88,0,0
120,7.74,0,0,3.99,0,0,1.39,0,1.02,0,0,0,142.6,0,0
