stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.64,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22,6.3,0,0,35.7,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,42.95,0,44.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887.86,10.22,0,0,323.32,0,3.1,0,0,0,0,5.96,0,0,0,0,0,0
 14-21,0,0,0,0,683.35,3.52,31.97,0,4.21,0,2.21,0,1.63,0,2.53,0,5.85,0,0,3.15,1.71,0,81.16,242.06,31.6,4.82,23.66,6.32,0,0,0,383.56,0,53.65,577.93,56.56,0,0,0,0,0
 24-34,0,0,0,1.58,174.26,0,2.06,0,2.48,1.35,1.39,0,1.43,0,4.39,0,28.57,0,3.35,115.63,0.63,0,117.87,279.2,10.54,6.15,44.96,0,0.99,1.24,0,0.83,0,13.87,74.06,54.3,0,0,2.09,0,0
 36-46,0,0,0,0,85.98,0,11.35,0.59,5.55,6.41,6.23,0,0.79,0,5.7,8.56,19.23,0,0,349.1,0,9.62,97.2,99.97,0.56,0.6,25.93,0,0,0,0,0,0,19.86,0,28.74,0,0,0.75,0,4.66
 48-58,1.15,0,0,0,63.79,0,8.01,3.06,14.09,4.89,6.61,0,0.39,0,0.37,0,12.24,0,0.88,329.76,0.49,17.02,42.19,82.26,0.44,0,19.12,0,0,0,0,0,0,12.84,0,16.27,0,1.32,0,0,0
 60-70,0,0,0,0,56.54,0,15.38,1.37,9.45,2.46,10.12,0.65,0,0,0,1.14,12.72,0,0,397.95,0,25.68,39.16,68.99,0,1.22,19.34,0,0,0,0,0,0,6.91,0,0.71,0,11.67,5.4,20.1,0.96
 72-82,0,0,0,0,32.13,7.33,21.61,0,1.81,0,22.28,1.73,0,0,1,0,6.99,0.96,0,428.04,0.78,23.97,42.53,86.7,0,1.39,24.21,0,0,4.71,0,0,0,1.07,0,2.72,0,10.34,4.56,30.17,0
 84-94,0,0,1.2,0,79.11,0,31.89,2.2,18.16,0.89,18.33,11.15,0,1.78,0,0.96,11.33,0,0,412.93,0,25.18,24.42,57.02,0,2.65,33.85,0,0,10.84,0,0,0,3.26,0,3.13,0,18.9,1.04,54.78,0
 96-106,0,0,0,0,49.77,0,38.47,6.81,17.25,0.76,42.63,4.94,0,2.69,0,1.11,7.66,3.93,0,412.48,0.71,25.78,22.38,107.88,0,2.42,36.82,0,6.51,3.81,3.39,0,0,5.7,0,11.99,0,16.17,2.26,58.16,0
108-118,0,0,0,0,40.1,0.66,32.8,0.9,24.69,1.63,53.14,18.7,0,0.42,0.42,2.41,8.82,1.1,0,427.4,0,24.66,23.48,86.79,0,0,33.19,0,3.54,3.61,0,0,0,8.63,0,10.86,4.22,4.33,2.41,42.04,0.58
120,0,0,0,0,40.46,11.31,25.14,0,4.4,0,21.9,7.65,0,0,0,0,8.08,0,0,455.48,0,37.08,28.7,140.3,0,1.62,44.96,0,12.66,1.31,0,0,2.43,1.63,0,0,0,4.24,1.06,28.49,0
