stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,mucous,muscle,neural,notochord,olfactory,periderm,spinal.cord,vasculature
  5-6,14.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0
 14-21,0,7.75,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,49.71,0,0,3.52,0,0,0,0,0,0,1.34,0,0,0,0,0,0
 36-46,0,16.92,0,0,2.84,0,0,3.81,0,0,0,0,2.04,0,0,0,0,0
 48-58,0,11.95,0,0,0.4,0,0,5.44,0,0,0,0,3.62,0,0,0,1.23,0
 60-70,0,8.98,0,0,5.15,0,0,6.01,0,0,0.85,0,2.63,0,0,0,0,0
 72-82,0,10.72,0,0,0,0,0,8.24,0,0,0,0,5.54,0,0,0,0,0.7
 84-94,0,49.59,0,6.93,12.5,0.96,0,13.29,0,0,0,0,0,0,0,0.6,0,0
 96-106,0,46.67,0,0,3.51,0,0,20.91,0,0.6,3.74,0,1.9,0,0,0,1.03,0
108-118,0,26.44,0,0,9.29,0,1.1,23.13,0,0,0,0,0,0.48,0.49,0,0.42,0
120,0,32.4,0,0,1.12,0,0,34.88,1.05,0,0,0,0,0,0,0,0,0
