stage,epidermis,eye,fast.muscle,fin.mesenchyme,glial,mesenchyme,muscle,neural,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle
 14-21,1.09,0,0,0,0,0,0,2.21,1.32,0,0.82,3.07,0
 24-34,0,0.88,0,0,0,0,0.74,20.61,0,0,0,1.26,0
 36-46,0,0.78,0,0,0,2.59,0.72,15.65,0,0,0,1.48,0
 48-58,0,4.25,0.41,0.72,2.4,0.72,0,3.82,0,0,0,4.97,0
 60-70,0,4.83,0,0,0,2.05,0,11.89,0,0,0,0,0
 72-82,0,3.13,0,0,1.31,0,0,7.79,0,0,0,0,0.73
 84-94,0,1.53,0,0,0,1.55,0,1.04,0,5.42,0,0,0
 96-106,0,0,0,0,0,2.87,0,3.38,0,0,0,0,0
108-118,0,0,0,0,0,0,0,3.83,0,0,0,1.17,0
120,1.43,0,0,0,0,0,0,0,0,0,0,0,0
