stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,191.29,2655.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.85,0,0,0,0,0,0,0,0,0,0,0
  5-6,175.7,3542.6,0,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,119.23,0,0,0,18.72,0,67.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,38.53,42.63,0,27.64,0,0,34.11,0,0,0,0,0,12.47,0,0,0,0,0,0,0,0,0,0,564.53,42.73,0,0,196.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,66.12,0,9.22,0,11.28,42.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698.09,36.77,0,0,273.88,0,0,13.2,0,34,0,4.35,6.57,0,0,0,0,0
 14-21,0,0,0,3.34,26.78,16.04,4.36,0,0,0,177.37,4.48,1.35,0.92,0,1.62,0,0,0,0,37.35,0,25.34,285.37,4.99,0,4.73,19.65,0,0,4.02,40.54,74.88,1.69,15.41,460.09,0,0,9.22,0,0
 24-34,0,0,0,0.59,4.71,0,10.19,0,0,0,166.05,0.92,0,0,0,0,0,0,5.54,0,33.13,0.69,20.85,176.59,0,18.63,8.42,0,0,0.73,0,3.3,74.24,0.62,3.73,355.69,0,0,15.57,0,0
 36-46,0,0,0,0,2.63,0,16.28,0,0,3.8,97.39,0,0,0,0,0,0,0.7,0,0,34.92,1.11,9.9,135.79,0,19.09,2.33,0,0,0.67,0,0,29.64,0,0,243.96,0,0,0.58,0,0
 48-58,0.55,0,0,0,0.4,0,8.4,0,0.37,2.1,105.46,0,0,0.4,0,0,0,3.77,0,0,31.62,0.69,5.64,63.21,0,9.14,2.89,0,0.47,0,0,0,9.92,0,0,260.46,0,0.91,0,0,0
 60-70,0,0,0.89,0,3.17,0,17.11,0,0,3.13,111.52,0,0,0,0,0,0,3.65,0,0,42.63,0.63,0,60.01,0,27.76,7.86,0,0,0,0,0,17.47,0,0,160.94,0,1.22,0.97,0,0
 72-82,0,0,4.3,0,0,0,15.96,0,0,1,107.59,3.14,0,0,0,0.58,0,5.36,0,0,34.33,1.83,7.57,74.72,0,45.34,15.28,0,0.87,0,0,0,6.04,0,0,87.88,0,0.92,2.4,2.58,7.64
 84-94,0,0,4.05,2.61,0,0,11.66,0,0,7.36,89.83,1.84,0,0,1.23,1,0.6,7.73,0,0,22.21,1.13,7.24,51.35,0,33.42,29.77,0,0,3.59,0,0,11.92,0,0,86.04,1.17,0,1.24,1.55,2.12
 96-106,0,0,7.47,0.58,0.66,0,17.35,0,0,0,82.35,3.02,0,0.76,0,0,0,28.36,0,0.58,35.84,0,9.04,37.09,0,50.92,37.38,0,3,0.72,0,0,4.4,0,0,80.41,0,1.51,0,0.8,0
108-118,0,0,5.87,1.6,2.41,0,6.26,0.51,0,1.82,62.01,0,0,0,0,1.16,0,7.33,2.96,6.13,47.9,4.08,11.19,25.83,0,29.15,37.92,0,0,0,0.48,0,11.08,0.42,0,46.97,0,0,0.49,5.14,0
120,0,0,0,3.17,4.9,0,11.09,0,0,0,94.51,0,0,0,0,0,1.58,6.86,0,0,22.17,1.45,5.19,38.08,0,27.32,56.3,0,0,0,2.5,0,11.77,0,0,18.17,0,12.76,0,0,0
