stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,28.86,836.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,0,0,0,0,0,0,0,0,0
  5-6,63.25,608,0,0,0,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0,0,0,17.95,0,0,0,0,8.81,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.66,0,0,0,7.87,0,0,0,0,0,8.01,0,0,0,0,0,0,0,0,0,0,0,235.91,3.26,0,0,57.47,0,5.11,0,0,0,0,0,0,0,0
 10-12,0,0,16.67,0,0,0,9.49,0,0,0,0,0,4.53,0,0,0,0,0,0,0,0,0,0,0,74.13,8.78,0,0,50.7,0,0,0,14.34,0,0,0,0,0,0
 14-21,0,0,0,4.01,225.42,0,2.95,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,0,1.03,32.47,0,0,0.95,0,0,0,6.07,0,0,2.01,4.67,0,0,0
 24-34,0,0,0,3.39,341.54,0,20.4,0,0,0,0,0,0.81,0.8,8.02,1.23,0,0,0.79,4.27,11.76,0,0,3.5,46.13,0,0,1.16,0,4.86,0,1.1,0,0,2.17,9.18,3.43,0,0.72
 36-46,0,0,0,0.58,159.74,0,3.49,0,0,0,2.28,0,0,0,0,0,0,0,0,0,6.22,0,0,4.48,36.23,0,0,0,0,1.76,0,0,0.74,0,0,4.98,0,0,0
 48-58,0,0,0,2.31,89.13,0,7.87,0,0,0,0.63,0.51,0,0.51,0.52,0,0,0,0,0,6.46,0.42,0.69,1.97,91.23,0,0,0,0,1.8,0,0,0,0,0,6.55,0.59,0,4.46
 60-70,0,0,0,2.04,21.31,0,21.3,0,0,0,6.44,1.05,0,0,0,0,0,0,0.74,0,3.3,0,0,13.32,34.94,0,0,0,0,4.98,0,0,0,1.72,0,6.83,0,0,14.7
 72-82,0,0,0,1.51,43.31,0,16.95,0.55,0,0,3.94,0.63,0,0,2.74,0,0,0.79,1.31,0,12.75,0,0,0,42.66,0,0,0,0,3.32,0,0,0,2.68,0,15.07,0,1.27,0
 84-94,0,0,0,0,68.21,0,14.79,0,0,0,0,1.55,0,0,0,0,1.22,0,0,0,8.77,1.42,0,5.45,19.14,0,0.78,0,0,3.72,0,0,1.26,0,0,0.63,3.12,0,0
 96-106,0,0,0,1.02,48.73,0,21.6,0,0.56,1.08,0,0,0,0,2.29,0,0,0,0,0,9.76,0,1.02,0.79,24.54,0,0.81,1.29,0,10.28,0,0,0,0.7,0,1.99,0,3.39,0.62
108-118,0,0,0,1.31,66.11,6.84,25.07,0,0,0.77,6.87,1.76,0,0,1.02,0,0.9,0,2.26,1.34,15.87,0,0,5.59,44.16,0.44,0,0,0,7.29,0,0,0,1.33,0,0.96,1.85,0,0
120,0,0,0,9.73,48.89,0,21,1.76,5.01,0,9.88,2,0,0,3.72,0,0,0,0,0,46.17,2.05,0,4.57,74.54,0,0,3.63,0,23.86,0,0,0,0,0,0,0,0,0
