stage,blastomeres,epidermis,eye,fast.muscle,glial,immune,ionocyte,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord
  5-6,18.23,0,0,0,0,0,0,0,0,7.94,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,9.86,0,0,0
 10-12,0,0,8.79,0,0,0,0,0,11.95,0,0,14.03,0,0,0
 14-21,0,1.08,0,0,0,0,2.04,0,0.87,0,0,0,0,0,0.88
 24-34,0,0,3.82,0,0,0,4.04,1.28,5.95,0,0,0,0.62,1.77,0
 36-46,0,0,0,0,0,0,2.77,0.68,0,1.47,0,0,0,0,1.59
 48-58,0,0,1.02,0,0,0,0,1.32,5.05,0,0,0,0,0,1.82
 60-70,0,0,0.94,0,0,0,0,2.34,3.03,0.66,0,0,0,0,0
 72-82,0,0.76,0.98,0,0.75,4.02,0,7.22,6.02,0,1.29,0,0,0,0
 84-94,0,0.66,0.66,0,0,1.19,3.33,3.51,6.73,0,0,0,0,0,0
 96-106,0,0,9.37,0,0,11.14,0.94,0,4.21,0,0,0,0,0,0
108-118,0,0,3.12,0,1.16,11.94,4.03,0,11.1,0,0,0,0,0,0
120,0,0,15.02,19.31,0,12.89,3.16,0,12.65,0,0,0,0,0,0
