stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,108.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20,132.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.67,0,0,0,0,0,0,0,0,0
  7-9,6.61,7.5,0,15.87,0,0,0,8.6,0,0,0,0,0,0,0,0,75.63,15.61,0,40,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,54.01,0,0,12.68,0,0,11.64,0,0,0,0,0,0
 14-21,0,0,9.29,6.92,0,3.85,0,0,0,0,0,0,0,1.74,0,0.93,46.7,1.13,0,0,0,3.57,0,5.71,15.74,0,0,0,0
 24-34,0,0,2.1,5.55,1.73,0.77,0.73,0,5.67,0,0,0,0,5.87,0,3.4,96.19,0,0.72,0,1.42,0,0,2.62,23.01,0,1.57,0,1.49
 36-46,0,0,0,11.34,0,4.08,0,0,0,0,0.93,0,0,3.05,0,1.38,37.63,0,1.37,0,4.32,0,0,0,8.9,0,4.67,0,0
 48-58,0,0,0,12.44,0,4.32,0,0,0,0,0,0,0.87,6.18,0,0.54,19.57,0,0,0,0.69,0,0,0,4.08,0,0.8,0,0.5
 60-70,0,0,0,10.57,0,2.16,0,0,0,0,0,1.12,0,2.9,0,0.97,17.36,0,0,0,0,0,0,0,4.22,0,0,0,0
 72-82,0,0,1.65,6.2,0,1.8,0,0,0,0,0,0,0,6.41,9.78,1.89,15.88,0,0,0,0,0,0,0,0.67,0,0,0,0
 84-94,0,0,0,1.44,0,0,0,0,0,0,0,0,0,1.57,2.32,0.66,13.91,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.52,0,1.76,0,0,0,0,0,0,0,5.28,0.8,0,11.98,0,0,0,2.48,0,0,0,0,0,0.59,0.61,0
108-118,0,0,0.97,1.59,0,0,3.55,0,0.56,0.67,0,0,0,2.28,0,0.64,6.77,0,0,0,0.63,0,0,0,0,0,0,0,0
120,0,0,0,2.7,0,13.1,0,0,0,0,1.45,0,0,0,0,2.07,27,0,0,0,2.34,0,0,0,0,1.95,1.14,0,0
