stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,melanocytes,mesenchyme,mural_cell,neural,notochord,paraxial_mesoderm,pericytes,periderm,spinal_cord,xanthophores
  5-6,8.69,0,0,0,0,0,0,0,0,0,6.53,0,0,0,0,0,0
  7-9,14.51,0,0,19.31,0,0,0,0,0,0,44.71,0,3.76,0,0,0,0
 10-12,0,0,0,0,0,0,7.47,0,0,0,22.9,0,13.85,0,0,0,0
 14-21,0,0.83,0,0,0,0,0,1.13,0.9,0,5.83,0,0,0,0,1.4,0
 24-34,0,0,0,0,0,0,0,0,0,0,28.58,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,3.34,0,41.34,0,0,0,0.99,3.86,0
 48-58,0,0,0,4.54,0,5.07,0,0,0.52,0,58.45,0,0,0,0,7.41,0
 60-70,0,0,0,7.92,1.45,3.31,0,0,13.49,0.7,79.43,0,0,0,0,1.96,0
 72-82,0,0,0.72,24.93,0,3.04,0,0,0,0,47.73,0,0,1.1,0,3.88,0
 84-94,0,0,0,18.23,0,0,0,0,2.41,0,30.09,3.47,0,0,0,4.46,0
 96-106,0,0,0,7.31,0,1.93,0,0,0,0,20.65,0,0,1.54,0,0,0
108-118,0,0,0,14.93,0,2.88,0,0,1.68,0,26.68,0,0,0,0.69,0,7.58
120,0,0,0,11.35,0,0,0,0,0,0,17.96,0,0,0,0,0,0
