stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630.98,0,0,0,0,0,0
  5-6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,928.97,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.44,0,0,0,3.51,37.34,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,12.48,0,0,3.39,12.19,0,0,0,0,0,0
 14-21,0,0,0.86,0,0,0,0,0,0,0,1.29,0,0,0.82,1,0,0,0,0,114.47,2.32,1.95,0,0,0,0
 24-34,0,0,1.25,0,0.66,2.05,0,0,0,0,0.87,1.41,0,0.65,39.7,1.67,0,1.28,0,645.42,0,0.64,3.18,0,0,11.46
 36-46,0,0,12.26,0,2.63,6.07,0,2.39,0.94,0,0.58,2.68,0,0,29.57,25.66,0,0.57,0,876.64,0,0,2.71,0,0,0
 48-58,0,0.86,1.85,0,1.03,0,5.99,0,0,0.63,0.63,0,0,0,10.93,0,0,0.86,0,222.25,0.95,0,16.86,0,0.4,0
 60-70,0,0,2.07,0,14.71,4.57,1,0,0,0,0.62,0,0,0,2.42,0,1.23,0.79,0,65.99,0,0,1.02,0,0,0
 72-82,0,1.89,0,0,2.08,1.07,0.7,0,0,0,5.17,0,0,0,11.43,0,0,0.59,0,36.64,0,0,1.28,0,0.61,0
 84-94,0,1.04,1.07,0,1.2,3.1,0,0,12.56,1.63,0.71,0.65,0,0,8.22,0,0,0,0,98.81,0,0,0,5.78,0,0
 96-106,0,0.76,0,2.18,1.91,2.12,1.42,0,0,0,2.84,0,0.75,0,0.77,0,0,8.57,0,25.35,0,0,0,0,0,0
108-118,0,5.18,0,0,3.69,0.68,0.73,0,0.43,5.05,2.24,0.45,0,0.48,7.38,0,0,1.78,0,15.71,0,0,0,0,0,0
120,0,0,0,0,0,4.59,0,0,0,0,0,0,0,0,19.52,0,0,8.05,0,7.26,0,0,0,0,0,0
