stage,axial,blastomeres,endoderm,epidermis,eye,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord
  3-4,99.75,2229.08,0,0,0,0,0,0,0,0,82.81,0,0,0
  5-6,56.03,942.89,0,0,0,0,0,15.25,0,0,0,0,0,0
  7-9,3.48,4.35,13.91,0,10.8,0,0,119.67,0,36.54,0,0,0,0
 10-12,0,8.63,0,0,8.78,0,0,143.21,0,52.41,0,29.59,0,0
 14-21,0,0,0,1.25,0,1.36,2.14,7.44,0,0.83,0,0,2.5,0
 24-34,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.61,0,2.89,0,0,0,0,0,0
 48-58,0,0,0,1.91,4.57,1.65,0,1.88,5.4,0,0,0,0,0.51
 60-70,0,0,0,0,0,0,0,2.19,0,0,0,0,0,2.44
 96-106,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0
108-118,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0
