stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,22.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.43,28.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.33,0,0,0,0,0,0,0,0,0,0,12.08,0,0,8.35,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,50.94,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.99,0.94,2.1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.88,0,0,0,0,3.95,0,27.24,0.64,0,0,0.6,11.39,0,0,0
 36-46,0,0,0,0,14.7,0,0,0,9.25,13.46,0,23.29,0,0,0,1.13,2.39,0,0,0
 48-58,0,0,0,4.47,9.62,3.26,9.02,0,0,4.59,0,22.58,0,0,0,0,2.48,0,0,3.22
 60-70,0,0,0,0,1.36,0.65,3.91,0,0,3.84,0,30.49,0,0,0,0,0,0,0,1.17
 72-82,0,0,0,0,2.35,0,0,0,0,0,0,2.48,0,0.51,0,0,0,0,0,0
 84-94,0,0,0,0,0.72,0,9.31,0,0,1.24,0,0,0,0,0,1.14,0,0,2.24,0
 96-106,0,0,0,0,0,0,0,0,0,1.48,0,4.06,0,0,0,0,0,0.91,0,0
108-118,0,0,0,0,0,0,4.42,0,0,0,0,1.18,0,0,0,0,0,2.78,0,0
120,0,0,6.68,0,0,0,6.48,1.93,0,9.72,0,59.52,0,0,0,0,0,0,0,0
