stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76,0,0,0,4.18,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,0,0,0,0,0,0,6.28,0,0,0,0
 24-34,0,0,0,0.62,0,0,0,0,0,0,0,0,2.57,0,0,74.37,0,0,0,0,0,0,81,0,0,0,0
 36-46,0,0,0,4.08,0,0,9.51,0,0,0,0,0,0.92,0,0.69,249.29,0,2.51,0,0,0,2.94,166.26,0,0,0,0
 48-58,0,0,0,22.46,3.16,0,27.65,0,0,0,0,0,1.06,0,0,745.95,0,0,2.56,0,0,1.2,170.4,0,0,0,0
 60-70,0.7,5.06,1.94,46.3,0,0,57.75,0,0,0,0,0,11.55,0,0,1229.73,0,0,0.95,0,0,4.1,208.48,0,1.04,0,0
 72-82,0,0,0,153.26,0,0,44.42,0,0,0,5.59,0,5.31,0,4.39,1704.97,0,0,0,0,0,2.83,117.44,0.95,0,2.46,7.52
 84-94,0,10.36,0,83.27,0,0,36.24,0,2.81,0,0,0,2.17,0,5.73,979.56,0,6.48,3.24,0,0,0,136.14,0,0,1,0
 96-106,0,13.29,0.83,116.34,0,2.71,35.24,0.98,0,0.59,0,2.44,7.06,0,1.8,813.49,0.62,2.27,3.87,0,1.51,0,79,0,5.78,8.28,0
108-118,3.71,0,3.04,86.84,0,0,27.15,4.83,0,0.43,3.99,0,10.93,1.77,3.76,794.67,0,1.12,1.23,0,0,0.51,72.17,6.95,0,3.96,0
120,1.73,5.65,0,79.46,0,0,37,0,0,0,0,0,12.27,0,0,1011.32,0,0,6.39,0,0,0,66.63,0,0,2.09,0
