stage,blastomeres,eye,ionocyte,neural,periderm
  3-4,9.47,0,0,0,0
  5-6,20.75,0,0,0,8.24
  7-9,0,10.85,0,6.92,0
 36-46,0,0,4.54,0,0
108-118,0,0,0,0.46,0
