stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,glial,hatching.gland,immune,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,32.3,585.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.39,0,0,0,0
  5-6,26.94,488.06,6.55,0,0,0,0,14.25,0,0,0,0,0,0,21.47,0,0,0,0,0,0,0,0,0
  7-9,0,0,22.54,0,0,11.48,0,0,0,0,0,0,0,0,177.83,9.93,0,0,32.65,0,0,0,0,0
 10-12,0,0,0,0,0,3.23,0,0,0,0,0,0,0,0,126.97,10.12,0,0,46.94,0,0,0,0,0
 14-21,0,0,0,1,0,36.14,0,0,0,0,0,0,0,0,28.03,2.22,0,0,1.14,0,0.83,0,7.01,0
 24-34,0,0,0,0,0,29.33,0.65,0,0,0.64,0,0,0,0,16.64,0,2.22,0.74,0,0,0,0,2.23,0
 36-46,0,0,0,0,0,6.57,9.48,0,0,0,0,0,0,0,24.91,0,0,0,0,1.58,0,0.7,7.49,0
 48-58,0,0,0,0,0,1.5,4.77,0,0,0,4.46,0.55,0,0,3.07,0.6,0,0,0,0,0,0,1.06,0
 60-70,0,0,0,0,0,0.78,0.9,0,0,0,0,1.47,0,0,11.81,0,1.19,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,3.14,2.12,0,0,0,0,0.54,0,0,7.97,0,0.82,3.59,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0.85,0,0,2.3,0,0.76,0,0,3.38,0,0,0,0,0.8,0,0.98
 96-106,0,0,0,0.6,0,17.76,4.7,0,0.93,0,0,1.63,1.52,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.75,0.46,3.83,7.94,0,0,0,0,0,0,0,1.31,0,0.75,0,0,0,0,0,0,0
120,0,0,0,1.21,0,0,0,0,0,0,0,10.62,0,0,0,0,2.89,0,0,0,0,0,0,0
