stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,38.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,64.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0
  7-9,5.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.35,0,0,3.69,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.15,0,0,17.1,0,0,3.11,0,0,0,0,0
 14-21,0,0,0.92,0.95,0.88,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0,1.61,4.42,0.83,0,0,0,0
 24-34,0,0,0,0,0.68,0,0.63,0.86,0,0,0,0,0.68,0,0.79,14.92,0,0,0,6.41,0,0,6.87,0,0,0,0
 36-46,0,0,1.88,0,2.95,0,0,0,0,0.77,0,0,2.82,0,0,6.95,0.81,1.22,0,2.72,0,0,2.45,0,0,0,0
 48-58,0,0,1.01,0,0.49,0,0,4.06,0,0.45,0,0,1.18,0,0,11.85,0,0,0,3.62,0,0,1.36,0,0,0,0
 60-70,0,0,0,0,1.42,3.51,0,5.73,0,0,0,0,5.05,0,0,14.26,0,0,0,2.35,0,0,0,0.84,0,0,0
 72-82,0,0,0,0,3.51,0.58,0,11.32,0,0,0,0,1.23,0,0,9.58,0,0,0,1.4,0,0,1.69,0,0.91,0,0
 84-94,0,0,0,0,0.99,2.28,0.68,21.95,0,0,0,0,3.5,1.6,0,1.24,0,0,0,5.75,0,0,0,0,0.59,2.63,0
 96-106,0,0,0.91,6.32,0,1.32,0,17.34,1.37,0,0,0,0.75,0,0,10.59,0,0,0,10.11,0,0,0,0,0,0,0
108-118,0,0,1.05,0,0,0,0,23.26,0,0,0.87,1.43,0,0,0,0,0,0.45,0,4.24,0,0,0,0,0,0.69,0
120,0,0,2.41,0,0,0,0,54.31,0,0,0,0,18.76,0,0,0,5.12,0,0,2.73,0,0,0,0,0,0,1.64
