stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.07,369.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,47.55,714.34,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,15.98,7.94,0,0,7.9,6.92,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.08,3.62,47.99,0,0,89.75,0,0,0,35.53,0,0,0,0,0,0,0,0,0,574.87,41.72,0,0,174.4,0,3.47,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.28,32.84,0,7.8,32.17,0,0,0,0,0,0,0,0,0,0,0,0,0,348.79,0,0,0,193.71,3.1,0,0,3.29,0,6.05,0,0,0,0,0,0
 14-21,0,0,0,5.27,5.47,3.05,0,3.21,0.96,0,0,0,0,0,0,3.23,0,0,1.69,58.25,3.07,0,0,7.89,0,0,4.04,0,0,4.03,12.25,0,0,0,0,0
 24-34,0,0,0,1.65,0,16.13,0,3.5,0,0,0.8,0,0,2.58,0,19.72,0,0,3.64,93.75,0.7,0,11.2,0,10.18,0,0,0,0,1.6,16.51,0,0,0.85,0,0
 36-46,0,0,0,1.96,0,15.84,1.24,8.08,0,0,0,0.58,23.39,0,0,35.14,0,0.67,2.6,43.36,0.82,0,0.81,0,1.19,0,0,0,0,0,9.8,0,0,0,0,11.36
 48-58,0,0,0,1.12,0,21.19,0,5.4,0,0,0,0,0,0.41,0,16.8,0,1.03,6.63,46.72,1.26,0,0.74,0,2.17,0,0,0,0,0,10.04,0,0,0.52,0,0
 60-70,0,0,0,0.8,0,13.66,0,7.78,0,0,0,0,0,0,0,22.09,0,0.71,1.44,32.26,1.88,0.88,0,0,6.97,0,0,0,0,0,0.8,0,0,1.52,0,0.91
 72-82,0,0,0,6.07,1.4,5.02,1.14,10.41,0,0,0,0,0,0,0,18.11,0,1.01,0.72,18.76,1.25,0,2.21,0,0.87,0,0,0,0,0,1.35,0,0,4.37,0,4.4
 84-94,0,0,0,3.72,0,7.21,0.94,2.24,0.63,0,0,0,0,0.67,0,6.71,0.93,0,0,16.09,1.73,0,2.56,0,0,0,0,0,0,0,0,0,1.8,0,0.74,0
 96-106,0,0,0,2.86,0,18.47,0,1.78,0,0,0,2.51,0,0,0,7.07,0,0,1.93,18.78,0,0.84,0.64,0,4.41,0,0,0,0,0,3.75,0,0,1.6,0,0
108-118,0,0,0,2.85,0.95,2.81,0.45,5.29,0.68,0,0,0,0,0.69,0,6.54,0,0.98,0,9.9,0,0,0,0,1.25,0,0,0,0.43,0,0,0,0,4.86,0,0
120,0,0,0,4.16,0,5.15,1.91,5.92,0,0,3.96,0,0,0,3.79,10.56,0,0,0,33.11,0,0,1.29,0,1.94,0,0,0,0,0,0,2.39,0,7.95,0,0
