stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,71.54,587.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,110.71,659.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.09,0,0,0,8.76,7.49,0,0,0,0,0,0
  7-9,33.93,14.07,0,8.25,0,0,0,21.1,0,0,0,0,0,21.05,0,0,0,0,0,0,0,321,19.78,0,0,132.73,0,0,0,0,0,0,0
 10-12,0,0,0,34.67,0,0,0,19.64,0,0,0,0,0,3.53,0,0,0,0,0,0,0,168.79,0,0,0,36.9,3.07,0,8.04,0,0,0,0
 14-21,0,0,0,0.88,21.69,2.12,0,4.67,0,1,0,0,0.82,0,0,0.95,0,8.01,0,0,7.13,82.88,0,1.88,0,5.16,2.53,16.66,0,7.43,17.43,3.19,0
 24-34,0,0,0.84,0.81,6.41,0.91,0,6.63,0,0,0,1.27,0,0,0.62,0,0,23.28,0,0,4.17,62.57,0,0,1.86,0,21.31,0,0,1.54,16.38,2.9,2.64
 36-46,0,0,0,0,0.63,0,0,6.23,6.23,2.83,0,4.92,0,0,0,0,0,6.28,0,0,3.49,29.13,0.68,0,0,0,21.35,0,0,0,15.99,0,0
 48-58,0,0,0,0,5.78,0,0,8.9,0,1,0.76,0.98,0,0,0.55,3.71,0,3.84,0,2.68,1.55,17.74,0,0,2.75,0,4.11,0,0,0,10.32,0,0.79
 60-70,0,0,0,0,0,0,0,13.1,0,0,0,2.41,0.63,0,0,0,0,2.67,0,2.41,0.93,26.07,0,0,0,0,6.7,0,0,0,2.88,0,0
 72-82,0,0,0,0,0,0,0,4.44,0,0,0,1.61,0.74,0,2.57,0,0.67,2.34,0,0,0,13.35,0,0,0,0,1.07,0,0,0,5.01,1.44,0
 84-94,0,0,0,0,0,0,0,5.71,0,1.15,0,0,0.57,0,1.7,0,0,11.23,0,0.83,0,6.87,0,0,0,0,1.62,0,0,0,6.31,0,0.7
 96-106,0,0,0,0,1.67,0,0,27.66,0,0,0,0,0,0,0.68,0,0,33.09,1.94,0,0,21.56,0,0,0,0,3.38,0,0,0,0,1.3,0
108-118,0,0,0,0,0,1.44,1.84,12.26,0,0.42,0.89,0,0,0,1.59,0,0,10.75,0,1.85,0,14.31,0,0,0,0,2.56,0,0,0,0,0,0
120,0,0,0,0,5.26,0,0,29.54,0,0,0,0,0,0,0,0,0,2.33,0,0,0,4.99,0,0,0,0,9.1,0,0,0,0,0,0
