stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,11.6,114.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,126.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.86,0,0,0,0,0,0,0,3.35,0,0,0,0,0,0,0,122.32,0,0,0,15.91,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,36.58,0,0,0,3.97,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.13,0.89,8.73,0.94,1.12,0,0,3.02,0,0,0,0,0,0,7.32,0,7.39,117.52,1.24,1.46,2.11,2.49,2.59,11.96,1.32,0,5.02,24.42,0,0,0
 24-34,0,0,0,0,0,0.62,12.37,0,0,0.9,0,0,0,1.24,0,0,16.9,0,13.09,175.67,1.14,2.49,5,0,1.86,0,0,0,2.76,61.3,0,1.55,1.99
 36-46,0,0,0,0,1.81,0,20.6,0,0.58,1.94,0,0,0,0,0,0,29.14,0,3.92,193.42,0.57,0.89,0,0,1.99,0,0.6,0,0,31.44,0,2.09,0
 48-58,0,0,0,0,0.49,0,65.27,0,1.83,3.89,0,0,0,0.39,0.54,0,31.28,0.71,6.04,124.64,0,1.46,0,0,0,0,0,0,0,17.96,0,1.92,0
 60-70,0,0,0,0,4.76,0,71.79,0,2.38,5.62,1.43,0,0.6,0,0,0,14.59,0,4.36,112.63,0,0,0.94,0,0,0,0,0,0,19.32,0,0,0
 72-82,0,0,0,0,0.7,0,35.61,0,3.22,2.33,0,0,0,0,0.93,0,32.76,0,7.36,50.86,0,0,3.61,0,0,0,0,0,0,8.99,0,0.65,0
 84-94,0,0,0,0,2.71,11.47,30.08,0,0,12.95,0,0,0,0,0,0,33.3,1.3,0.71,46.05,0,0,0,0,0.74,0,0,0,0,3.93,0,0,0
 96-106,0,0,0.63,0,2.11,3.78,25.36,1.62,0,5.28,2.3,0,0,0,0,0.63,27.53,5.06,3.97,48.82,0,0,3.9,0,1.93,0,0.9,0.57,0,0,1.76,4.34,0
108-118,0,0,0,0,0.49,0,30.15,0.76,0,5.11,0,0,0,0,0,0,18.21,0,5.06,76.94,0,0.43,0,0,1.26,0,0,0.53,0,5.09,1.66,0,4.4
120,0,0,0,0,8.56,2.6,52.82,0,4.53,4.07,2,0,0,0,0,0,8.2,0,1.46,111.79,0,0,3.12,0,0,0,0,0,0,1.53,0,0,0
