stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,160.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,124.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.35,0,0,0,0,5.09,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.6,0,0,0,0,0,10.17,0,0,0,0,0,0,0,0,0,0,0,7.47,0,0,0,0,0,97.54,13.38,0,0,37.45,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.93,10.41,23.62,8.97,0,3.13,0,0,0,0,16.84,0,0,0,0,0,0,24.19,0,3.97,0,0,4.48,48,11.77,0,0,0,3.34,1.38,5.17,22.25,2.74,5.89,16.06,0,0,0,0,0
 24-34,0,1.37,3.46,18.54,0.81,0,3.45,0,1.87,0,1.67,7.43,0,1.77,0,0,0,0.66,47.94,0,14.14,0,0,9.55,24.14,14.46,0.75,0.6,0,28.69,0,0,67.85,0,1.31,6.06,0,0,4.02,0,0
 36-46,0,0.77,0.96,1.27,0,0,2.54,0,1.65,3.27,1.5,2.14,7.5,0,0,0.58,0,0,26.88,0,8.25,0.72,0,4.88,31.74,3.93,0.73,3.93,0,33.46,0,0,33.21,0,0,4.88,0,0,0.66,0,1.22
 48-58,0,0,0.4,11.15,0,0,7.49,0,2.94,5.69,10.61,10.84,1.43,0,0,0.92,0,0.65,13.47,5.29,34.1,7.16,0,3.71,25.66,5.26,0,0,0,22.37,0,0,20.43,0,0,13.17,0,0,2.75,0,7.33
 60-70,0,0,0,8.08,0,0,11.22,0,4.73,5.16,15.27,37.35,0,0,0,0,5.84,0.59,42.65,0,77.83,1.14,0,12.74,39.49,1.5,2.15,2.25,0,30.21,0,0,27.57,0,0,15.04,0,0,3.76,0,6.49
 72-82,0,11.37,1.89,2.82,0,7.74,9.63,0,0,10,27.82,129.65,1.18,0.84,6.83,0.57,0,4.79,164.68,0,109.42,0.56,0,4.84,103.86,1.31,1.23,4.72,0,7.83,0,0,96.35,0,0,9.43,0,0.87,4.41,2.91,21.24
 84-94,0,11.15,1.77,11.87,0,3.36,28.22,0,1.95,17.69,15.6,263.56,0.64,0,5.63,0.78,1.35,2.36,528.13,0,69.82,0,1.03,5.62,44.64,6.02,0,1.17,0,31.01,0,0,157.82,0,0,6.52,1.46,0,4.44,0,8.14
 96-106,0,5.14,2.02,23.31,18.01,21.75,81.69,0,3.27,8.4,16.92,455.12,0,1.76,1.57,2.81,5.32,2.05,981.15,0,70.41,4.41,0,3.02,178.96,9.26,2.77,1.07,0,17.34,0,0,180.78,0,0,6.15,0.81,1.96,2.83,4.86,2.89
108-118,0,6.06,0.93,9.16,26.25,41.06,28.14,0,2.45,1.6,4.26,521.35,0,0,1.55,1.34,1.22,5.63,1699.4,0.9,71.63,0,0.75,8.31,155.57,2.3,0.87,2.69,0,14.85,0,0,154.7,0.46,0,6.32,2.32,0,4.7,1.15,3.16
120,0,14.01,0,13.51,8.28,3.88,12.52,1.06,2.21,6.89,14.62,269.16,0,0,14.11,0,0,0,665.36,0,52.99,17.7,8.9,11.22,67.42,0,1.11,1.59,0,15.13,1.53,0,100.18,0,0,0,0,0,4.75,0,0
