stage,epidermis,eye,fin_epithelia,glial,gut,immune,liver,mesenchyme,muscle,neural,notochord,periderm,pronephros,somites,spinal_cord
 10-12,0,0,0,0,0,0,0,0,0,12.61,11.6,0,0,0,0
 14-21,0,0.94,0,0,0,0,0,0,0,0,2.2,0,0,0.93,0
 24-34,0,5.53,0,0,0,0,0,0.68,0.81,0,0,0,0,0,0
 36-46,0,55.54,0,0,0,0,0,6.75,0,0,0,0,0,0,0
 48-58,0,113.09,0,0.39,0,0,0,6.19,0,5.55,0,0,0,0,0.74
 60-70,0,133.22,1.06,0,0,0,0.7,7.57,0,12.52,0,1.18,1.47,0,0
 72-82,0.78,61.73,0,0,0,0,0,2.05,0,3.59,0,2.71,0.49,0,0
 84-94,5.7,136.7,0,0,0,0,0,5.64,0,0,0,0,4.02,0,0
 96-106,8.13,37.24,0,0,1.9,0.62,0,8,0,2.55,0,0,5.88,0,0
108-118,9.12,11.56,0,0,0,0.79,0,1.17,0,1.97,0,5.29,3.23,0,1.2
120,10,11.06,0,0,0,0,0,16.53,0,1.46,0,0,5.49,0,0
