stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,13.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.14,18.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.58,0,0,0,0,0,11.05,0,0,0,0,0,0,0,0,0,21.37,0,0,0,11.13,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12,0,0,0,0,0,6.56,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.89,0,0,0,0,0,0,0.84,0,3.13,0,0,0,0,9.13,0,1.43,0,2.22,18.24,0,0,0.94,0.86,1.01,0.9,2.19,0,3.76,3.48,0,0,0,0
 24-34,0,0,0,10.57,0,0,16.77,0,0,0,0.88,1.64,0,1.18,0,3.58,0,0.9,0,7,0,0.63,73.68,11.43,0,2.6,0,14.66,0,0,0,1.19,15.85,0,0,1.08,0.86
 36-46,0,0,0,7.62,0,0,13.22,0,0,0,0,0.58,0,0,0,0,0,0,1.89,7.97,0,1.43,62.52,2.18,0.63,9.3,0,16.19,0,0,0,0,13.68,0,0,4.93,4.11
 48-58,0,0,0,15.01,0,0,45.43,0.99,5.08,0,17.54,0,0,0.59,0,6.68,0,0,6.87,15.2,0.6,6.14,148.88,10.13,1.66,0,0,22.6,0,0,0,0,11.5,0,0,9.09,4.59
 60-70,0,0,0,4.79,1.65,0,51.41,0,1.84,1.73,22.06,0,0,0,0,0,0,1.73,0,17.71,0,10.21,79.48,3.78,3.96,0,0,1.56,0,0,1.12,0,22.31,0,0,0,0
 72-82,0,0,0,1.89,0,0,53.27,1.29,0,0,8.44,4.13,0,0,0.5,0,0,0,9,24.54,1.09,2.15,39.24,0,0.93,1.59,0,6.14,0,0,0,0,12.81,0,0,9.51,1.89
 84-94,0,0,0,10.52,0.97,3.04,37.92,0.75,2.93,0.73,14.15,0,0,0,0,0,0,0,0,50.95,0,1.43,37.02,0.62,4.45,3.58,0,7.31,0,0,0,0,1.5,0,0,6.43,0
 96-106,0,0,0,0,0,0,19.76,0,2.45,0,1.76,0.79,0,0,0,0,0,0,0,4.58,2.14,0.76,1.57,0,0,0,0,0,0,0,0,0,0,0,0,2.15,0
108-118,0,0,0.97,4.93,1.12,1.3,14.92,0,1.75,0,6.37,1.35,0,0,0,0.88,0.9,0,0,17.73,4.05,4.64,39.43,0.77,0,0,0,16.13,0,0,0,0,0,1.3,0.53,10.27,7.45
120,0,0,0,18.58,1.14,1.58,44.22,4.1,0,0,43.6,1.52,0,3.84,2.12,4.13,0,14.14,1.61,97.24,0,2.07,117.78,8.4,0,11.62,0,17.38,0,0,0,0,8.83,0,0,19.49,0
