stage,blastomeres,epidermis,eye,fin.epithelia,glial,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,10.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,14.39,0,0,0,13.79,0,0,0
 10-12,0,0,9.53,0,0,0,0,17.41,0,0,0,9.17,0,0,0
 14-21,0,0,0,0,4.42,2.23,0.99,6.45,0,3.47,1.28,0,4.79,0,0
 24-34,0,0.62,0,0,2.88,0.8,0,15.6,0.7,0,0,0,7.24,0,0
 36-46,0,0,1.5,1.05,3.4,1.79,3.18,2.02,1.09,1.3,0,0,2.59,0,0
 48-58,0,0,2.31,4.81,0,1.79,0,3.56,4.58,0,0,0,4.9,0,1.49
 60-70,0,0,6.26,0,1.04,0,0,2.8,3.57,0,3.45,0,0,0.63,0
 72-82,0,0,2.81,0,1.21,4.72,0,18.07,0,0.79,0,0,2.09,0,0
 84-94,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.96,0,0,0.83,0,0.7,0,0,7.51,0,0
108-118,0,2.89,0,0,0,0,0,1.27,0,0,0.71,0,0.47,0,0
120,0,0,2.82,0,0,7.38,0,0,0,0,0,0,0,0,0
